County,Date of Tier Assignment,"Updated Overall Tier Status, Data Pulled 09/07/2020",Number of Weeks Meeting Criteria for Higher Tier,Number of Weeks Meeting Criteria for Lower Tier,"Previous Tier Status, 08 31 2020 Assessment",Tier for Week Ending 08 29 2020 Using Full Linear Adjustment,Testing Positivity excl prisons (7 day avg 7 day lag),Case Rate Used for Tier Adjusted Using Linear Adjustment (7 day avg 7 day lag),"Adj Case Rate For Tier Assign Using Lin Adj per 100,000 excl prison (7 day avg 7 day lag)**","Unadjusted Case Rate per 100,000 excl prison (7 day avg 7 day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons (7 day avg 7 day lag)
State Avg=217.9",Population
Alameda,9/8/2020,1,0,         ,1,1,5,7.8,7.8,8,0.974,231.8,1685886
Alpine,9/8/2020,4,         ,0,4,4,0,0,0,0,      ,345.3,1117
Amador,9/8/2020,2,0,0,1,3,2.6,2.2,2.3,2.2,      ,199.5,38531
Butte,9/8/2020,1,0,         ,1,1,11.2,27.6,27.6,30.5,0.904,270.4,217769
Calaveras,9/8/2020,2,0,1,2,1,5.6,8.4,9.3,8.4,      ,160.3,44289
Colusa,9/8/2020,1,0,         ,1,1,11.1,17.1,18.9,17.1,      ,160,22593
Contra Costa,9/8/2020,1,0,         ,1,1,5.3,8.4,8.4,8.3,1.012,211.3,1160099
Del Norte,9/8/2020,3,0,1,3,1,0.9,10.4,11.3,10.4,      ,167.4,27558
El Dorado,9/8/2020,2,1,0,2,3,1.8,2.3,2.7,2.3,      ,128.9,193098
Fresno,9/8/2020,1,0,         ,1,1,9.8,12.6,12.6,12.4,1.017,208.8,1032227
Glenn,9/8/2020,1,0,         ,1,1,8,10.7,11.4,10.7,      ,183,29348
Humboldt,9/8/2020,3,0,0,3,3,1.1,2.9,2.9,3,0.981,228.2,134098
Imperial,9/8/2020,1,0,         ,1,1,10.9,11.8,11.8,10.7,1.107,159.4,191649
Inyo,9/8/2020,1,1,0,1,2,3.9,7,7.5,7,      ,178.8,18453
Kern,9/8/2020,1,0,         ,1,1,9.9,9.2,9.2,7.8,1.169,126,927251
Kings,9/8/2020,1,0,         ,1,1,8.8,11.3,11.3,10.7,1.055,187.9,156444
Lake,9/8/2020,2,0,0,2,2,5.8,6.2,6.7,6.2,      ,170,64871
Lassen,9/8/2020,2,1,0,2,3,2.6,0.95,1.1,1,      ,107.9,30065
Los Angeles,9/8/2020,1,0,         ,1,1,4.3,9.6,9.6,11,0.876,285.3,10257557
Madera,9/8/2020,1,0,         ,1,1,11,12.4,12.4,11.5,1.078,175.3,160089
Marin,9/8/2020,1,0,         ,1,1,4.4,9.1,9.1,10.5,0.872,287.4,260800
Mariposa,9/8/2020,3,0,0,3,3,0.7,1.6,1.6,1.6,      ,215.1,17795
Mendocino,9/8/2020,1,0,         ,1,1,4.5,9,9.1,9,      ,216.5,88439
Merced,9/8/2020,1,0,         ,1,1,7.5,13.3,13.3,14.2,0.932,254.7,287420
Modoc,9/8/2020,4,0,1,4,1,2.1,9,11.5,9,      ,72.4,9475
Mono,9/8/2020,3,1,0,3,4,0,0,0,0,      ,132,13961
Monterey,9/8/2020,1,0,         ,1,1,9.9,15.1,15.1,14.5,1.039,196.5,448732
Napa,9/8/2020,2,0,0,2,2,2.9,4.2,4.2,5,0.848,300.8,139652
Nevada,9/8/2020,2,1,0,2,3,2.1,2.5,2.6,2.5,      ,179.5,98710
