County,Date of Tier Assessment,Tier Assignment 9/15,Number of Weeks in Current Tier,Number of Weeks Meeting Criteria for Less Restrictive Tier,Number of Weeks Meeting Criteria for More Restrictive Tier,Previous Overall Tier Assessment on 9/8,9/14 Assessment: Metrics for 08/30/20 to 09/05/20,Testing Positivity excl prisons (7-day avg 7-day lag),Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg 7-day lag),"Unadjusted Case Rate per 100,000 excl prison (7-day avg 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg 7-day lag)

State Median Testing Rate=216.35","Tests per 100,000 excl prisons, (7-day avg 7-day lag)",Population
Alameda,9/14/2020,1,2,1,0,1,2,3.4,5.6,6,0.935,251.6,251.6,1685886
Alpine,9/14/2020,4,2, ,0,4,4,0,0,0,      ,652.3,652.3,1117
Amador,9/14/2020,2,2,1,0,2,3,1.3,1.1,1.1,      ,142.4,142.4,38531
Butte,9/14/2020,1,2,0, ,1,1,8.3,18.2,21.5,0.845,300.1,300.1,217769
Calaveras,9/14/2020,2,2,0,0,2,2,3.6,5.2,5.2,      ,171,171,44289
Colusa,9/14/2020,1,2,0, ,1,1,8.9,7.6,7.6,      ,156.2,156.2,22593
Contra Costa,9/14/2020,1,2,0, ,1,1,4.7,7.1,7.1,1,216.2,216.2,1160099
Del Norte,9/14/2020,3,2,0,0,3,3,0.5,1.6,1.6,      ,444.8,444.8,27558
El Dorado,9/14/2020,2,2,2,0,2,3,1.8,2.1,2.1,      ,151.6,151.6,193098
Fresno,9/14/2020,1,2,0, ,1,1,6.2,7.5,7.8,0.969,233.1,233.1,1032227
Glenn,9/14/2020,1,2,0, ,1,1,11.7,20.9,20.9,      ,229.3,229.3,29348
Humboldt,9/14/2020,3,2,0,0,3,3,1.6,3.7,3.9,0.934,252.3,252.3,134098
Imperial,9/14/2020,1,2,0, ,1,1,5.8,7.8,8.7,0.896,272.7,272.7,191649
Inyo,9/14/2020,2,2,2,0,1,3,1.4,2.3,2.3,      ,161.8,161.8,18453
Kern,9/14/2020,1,2,0, ,1,1,7.1,7.5,6.7,1.123,149.8,149.8,927251
Kings,9/14/2020,1,2,0, ,1,1,4.7,7.5,8.9,0.843,301.2,301.2,156444
Lake,9/14/2020,2,2,0,0,2,2,3.5,5.9,5.9,      ,223.7,223.7,64871
Lassen,9/14/2020,2,2,2,0,2,3,1.2,2.9,2.9,      ,267,267,30065
Los Angeles,9/14/2020,1,2,0, ,1,1,3.2,8.1,9.1,0.889,276.6,276.6,10257557
Madera,9/14/2020,1,2,0, ,1,1,9,9.3,8.5,1.098,163.5,163.5,160089
Marin*,9/14/2020,2,1,0,0,1,2,3.3,6,7.1,0.854,295.2,278.3,260800
Mariposa,9/14/2020,3,2,1,0,3,4,0.7,0.8,0.8,      ,227.2,227.2,17795
Mendocino,9/14/2020,1,2,0, ,1,1,5.4,9.9,9.9,      ,209.3,209.3,88439
Merced,9/14/2020,1,2,0, ,1,1,5.3,9.5,13.8,0.691,383.5,383.5,287420
Modoc**,9/14/2020,4,1,0,0,4,1,1.7,13.6,13.6,      ,452.3,452.3,9475
Mono,9/14/2020,3,2,2,0,3,4,0,0,0,      ,191.3,191.3,13961
Monterey,9/14/2020,1,2,0, ,1,1,9.8,13.9,13.2,1.05,189.5,189.5,448732
Napa,9/14/2020,2,2,0,0,2,2,2.6,5.2,5.8,0.886,278,278,139652
Nevada,9/14/2020,2,2,2,0,2,3,2,3.3,3.3,      ,169.3,169.3,98710
Orange,9/14/2020,2,2,0,0,2,2,3.9,4.7,4.4,1.067,180.1,180.1,3228519
Placer,9/14/2020,2,2,0,0,2,2,4.4,6.1,5.6,1.096,164.5,164.5,400434
Plumas,9/14/2020,3,2,0,0,3,3,0.9,1.5,1.5,      ,82,82,18997
Riverside,9/14/2020,1,2,1,0,1,2,6.4,6.7,5.8,1.156,131.8,131.8,2468145
Sacramento,9/14/2020,1,2,0, ,1,1,5.7,9,8.5,1.055,186.6,186.6,1567975
San Benito,9/14/2020,1,2,0, ,1,1,8.1,16.1,16.1,      ,257.7,257.7,64022
San Bernardino,9/14/2020,1,2,0, ,1,1,6.4,7.4,6.8,1.092,166.3,166.3,2217398
San Diego*,9/14/2020,2,2,0,1,2,1,4.5,8.1,7.9,1.032,198.8,133.8,3370418
San Francisco,9/14/2020,2,2,1,0,2,3,2.4,3.9,6.5,0.6,455.3,455.3,892280
San Joaquin,9/14/2020,1,2,0, ,1,1,7.1,9.5,8.8,1.078,174.3,174.3,782545
San Luis Obispo,9/14/2020,1,2,1,0,1,2,2.9,6.3,7.3,0.862,290.9,290.9,278862
San Mateo,9/14/2020,1,2,1,0,1,2,4.1,6,6.2,0.973,231,231,778001
Santa Barbara,9/14/2020,1,2,0, ,1,1,4.8,9.1,9.1,0.998,217.2,217.2,456373
Santa Clara,9/14/2020,2,2,0,0,2,2,3,6,7.2,0.832,307.4,307.4,1967585
Santa Cruz,9/14/2020,2,2,0,0,2,2,3.6,5.5,5.5,1,216.5,216.5,273999
Shasta,9/14/2020,3,2,0,0,3,3,1.7,1.4,1.4,      ,199.4,199.4,177925
Sierra,9/14/2020,2,2,2,0,2,4,0,0,0,      ,128.4,128.4,3115
Siskiyou,9/14/2020,3,2,0,0,3,3,2.5,2.3,2.3,      ,143.3,143.3,43956
Solano,9/14/2020,1,2,1,0,1,2,3.4,5.3,5.3,0.991,221,221,444255
Sonoma,9/14/2020,1,2,0, ,1,1,5.6,10.6,11.5,0.922,258.6,258.6,496668
Stanislaus,9/14/2020,1,2,0, ,1,1,5.6,9.4,9.6,0.979,228,228,562303
Sutter,9/14/2020,1,2,0, ,1,1,7,10.7,10.7,      ,209.3,209.3,105747
Tehama,9/14/2020,2,2,2,0,1,2,4.4,6.9,6.9,      ,184.3,184.3,65885
Trinity,9/14/2020,3,2,0,0,3,3,1.2,1.1,1.1,      ,184,184,13354
Tulare,9/14/2020,1,2,0, ,1,1,8.7,12.3,12.2,1.004,214.3,214.3,484423
Tuolumne,9/14/2020,3,2,0,0,3,3,2,2.7,2.7,      ,319.3,319.3,52351
Ventura,9/14/2020,1,2,0, ,1,1,4.4,7.9,8.3,0.951,243,243,852747
Yolo,9/14/2020,1,2,0, ,1,1,5.8,7.5,7.1,1.056,186,186,223612
Yuba,9/14/2020,1,2,0, ,1,1,10.6,10.4,10.4,      ,168.6,168.6,79290
