County,Date of Tier Assessment,Ending Date of Week of Data: starting at 09-13-2020,"Updated Overall Tier Status, 09-28-2020 Assessment","Previous Overall Tier Status, 09-21-2020 Assessment",First Date in Current Tier,School Reopening Status as of 09-28-2020,Number of Weeks in Current Tier,Number of Weeks Meeting Criteria for Less Restrictive Tier,Number of Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 09-13-2020 to 09-19-2020, 09-28-2020 Assessment",Testing Positivity excl prisons (7-day avg 7-day lag),Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg 7-day lag),"Unadjusted Case Rate per 100,000 excl prison (7-day avg 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg 7-day lag)

State Median Testing Rate=216.35","Tests per 100,000 excl prisons, (7-day avg 7-day lag)",Population
Alameda,9/28/2020,9/19/2020,2,2,9/21/2020,May Not Reopen,1,0,0,2,2.3,4.1,4.8,0.853,296.1,296.1,1685886
Alpine,9/28/2020,9/19/2020,4,4,8/31/2020,May Reopen,4,NA,0,4,0,0,0,      ,51.2,51.2,1117
Amador,9/28/2020,9/19/2020,3,2,9/28/2020,May Reopen,0,0,0,3,2.1,3,3,      ,162.4,162.4,38531
Butte,9/28/2020,9/19/2020,2,1,9/28/2020,May Not Reopen,0,0,0,2,2.6,5,5.6,0.905,267.6,267.6,217769
Calaveras,9/28/2020,9/19/2020,3,2,9/28/2020,May Reopen,0,0,0,4,1.4,0.3,0.3,      ,181.6,181.6,44289
Colusa,9/28/2020,9/19/2020,1,1,8/31/2020,May Not Reopen,4,0,NA,1,9.4,10.1,10.1,      ,147.3,147.3,22593
Contra Costa,9/28/2020,9/19/2020,2,1,9/28/2020,May Not Reopen,0,0,0,2,3.7,6.3,6.7,0.949,244.2,244.2,1160099
Del Norte*,9/28/2020,9/19/2020,3,3,8/31/2020,May Reopen,4,0,1,2,0.5,5.2,5.2,      ,484.7,484.7,27558
El Dorado,9/28/2020,9/19/2020,3,3,9/21/2020,May Reopen,1,0,0,3,1.7,2.7,2.7,      ,151.2,151.2,193098
Fresno,9/28/2020,9/19/2020,2,1,9/28/2020,May Not Reopen,0,0,0,2,4.9,6.2,6.1,1.01,211,211,1032227
