County,Date of Tier Assessment,"Updated Tier Assignment, 10-5-20 Assessment","Previous Tier Assignment, 9-28-20 Assessment",First Date in Current Tier,School Opening,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 9-20-20 to 9-26-20, &assessment. Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Adjusted Case Rate Used for Tier Assignment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prison(7-day avg, 7-day lag)",Linear Case Rate Adjustment Factor Applied to Case Rate,"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg 7-day lag)

State Median Testing Rate=216.35","Tests per 100,000 excl prisons, (7-day avg 7-day lag)",Population,"Total New Cases: Additional Small County Criteria Applied to Move to More Restrictive Tier: Exceeds Cases: 2 to 1: <=35K:35, 35-70K:42, 70-106K:49, 3 to 2: <=35K:14, 35-70K:21, 70-106K:28, 4 to 3: <=35K:7, 35-70K:14, 70-106K:21","Test Positivity excl prisons in Lowest Healthy Places Index Quartile Census Tracts (7-day, 7-day lag)","Meets Health Equity Requirement: Lowest HPI Quartile Census Tracts' Test Positivity Threshold for Less Restrictive Tier
(Purple: <=8%, Red: <= 5.2%, Orange: <=2.1%)",Number of Consecutive Weeks Meeting Health Equity Requirement,Meets Accelerated Health Equity Criteria,Number of Consecutive Weeks Meeting Accelerated Health Equity Criteria
Alameda,10/5/2020,2,2,9/21/2020,May Reopen,1,0,3,2,3.4,4,0.848,298.3,298.3,1685886,474,3.9,Yes,2,No,0
Alpine,10/5/2020,4,4,8/31/2020,May Reopen,NA,0,4,0,0,0,      ,562.7,562.7,1117,0,      ,NA,NA,NA,NA
Amador,10/5/2020,3,3,9/28/2020,May Reopen,0,0,3,0.5,1.5,1.5,      ,343.7,343.7,38531,4,      ,NA,NA,NA,NA
Butte,10/5/2020,2,2,9/28/2020,May Not Reopen,1,0,3,1.6,2.8,3.1,0.898,271.3,271.3,217769,48,1.4,Yes,2,No,0
Calaveras,10/5/2020,3,3,9/28/2020,May Reopen,0,0,3,1,1,1,      ,200.3,200.3,44289,3,      ,NA,NA,NA,NA
Colusa,10/5/2020,1,1,8/31/2020,May Not Reopen,1,0,2,6.3,3.2,3.2,      ,111.3,111.3,22593,5,      ,NA,NA,NA,NA
Contra Costa,10/5/2020,2,2,9/28/2020,May Not Reopen,0,0,2,3.3,5.6,6.2,0.906,267.4,267.4,1160099,503,6.8,No,0,No,0
Del Norte,10/5/2020,3,3,8/31/2020,May Reopen,0,0,3,2,3.6,3.6,      ,202.7,202.7,27558,7,      ,NA,NA,NA,NA
El Dorado^,10/5/2020,3,3,9/21/2020,May Reopen,0,1,2,3.3,4.5,4.5,      ,193.3,193.3,193098,61,1.7,Yes,2,No,0
Fresno^,10/5/2020,2,2,9/28/2020,May Not Reopen,0,1,1,5.3,7.2,7,1.027,201.6,201.6,1032227,509,8.4,No,0,No,0
Glenn,10/5/2020,1,1,8/31/2020,May Not Reopen,0,NA,1,6.2,12.7,12.7,      ,228.3,228.3,29348,26,      ,NA,NA,NA,NA
Humboldt*,10/5/2020,4,3,10/5/2020,May Reopen,NA,0,3,1.5,2,2,      ,195.6,195.6,134098,19,0,Yes,0,Yes,0
Imperial,10/5/2020,1,1,8/31/2020,May Not Reopen,0,NA,1,4.9,8.2,9.5,0.865,289.6,289.6,191649,128,6.1,Yes,2,No,0
Inyo,10/5/2020,3,2,10/5/2020,May Reopen,0,0,3,0.6,3.1,3.1,      ,137.8,137.8,18453,4,      ,NA,NA,NA,NA
Kern,10/5/2020,1,1,8/31/2020,May Not Reopen,1,0,2,4.7,5.5,5.1,1.077,174.8,161.8,927251,329,6.2,Yes,1,No,0
Kings,10/5/2020,1,1,8/31/2020,May Not Reopen,1,0,3,3,3.8,5,0.758,347.4,304.6,156444,55,4.4,Yes,2,No,0
Lake**,10/5/2020,2,2,8/31/2020,May Reopen,0,0,1,3.9,8.8,8.8,      ,354.1,354.1,64871,40,      ,NA,NA,NA,NA
Lassen,10/5/2020,3,3,9/21/2020,May Reopen,1,0,4,0.4,0.5,0.5,      ,118.8,118.8,30065,1,      ,NA,NA,NA,NA
Los Angeles,10/5/2020,1,1,8/31/2020,May Not Reopen,0,NA,1,2.8,7.4,9.4,0.786,332.1,332.1,10257557,6775,4.4,Yes,2,No,0
Madera,10/5/2020,1,1,8/31/2020,May Not Reopen,0,NA,1,6.6,8.4,7.9,1.073,176.9,176.9,160089,88,6.6,Yes,2,No,0
Marin,10/5/2020,2,2,9/14/2020,May Reopen,0,0,2,1.8,4,5.5,0.722,366.8,332.3,260800,100,3.1,Yes,1,No,0
Mariposa,10/5/2020,4,4,9/21/2020,May Reopen,NA,0,4,0.4,0.8,0.8,      ,226.4,226.4,17795,1,      ,NA,NA,NA,NA
Mendocino,10/5/2020,1,1,8/31/2020,May Not Reopen,0,NA,1,4.6,10.5,10.5,      ,267.2,267.2,88439,65,      ,NA,NA,NA,NA
Merced,10/5/2020,2,1,10/5/2020,May Not Reopen,0,0,2,3.9,6.7,6.8,0.991,221.4,221.4,287420,136,3.3,Yes,0,No,0
