County,Date of Tier Assessment,Ending Date of Week of Data: 12-27-20 to 01-02-21,Final Tier Assignment for 01-12-21,"Previous Tier Assignment, 01-04-21 Assessment",First Date in Current Tier,"Tier for Week 12-27-20 to 01-02-21, 01-11-21 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=447.67",Population^,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)"
Alameda,01-11-2021,01-02-2021,1,1,10-12-2020,1,9.7,41.7,46.6,0.895,541.8,1685886,13.3
Alpine*,01-11-2021,01-02-2021,2,2,08-31-2020,1,3.8,38.4,38.4,  ,677.8,1117,  
Amador,01-11-2021,01-02-2021,1,1,11-09-2020,1,10.1,50.1,50.1,  ,530.6,38531,  
Butte,01-11-2021,01-02-2021,1,1,10-19-2020,1,14.6,54.8,53.5,1.025,419.3,217769,15.6
Calaveras,01-11-2021,01-02-2021,1,1,10-26-2020,1,18.2,55.8,55.8,  ,329.3,44289,  
Colusa,01-11-2021,01-02-2021,1,1,10-26-2020,1,19.1,68.3,68.3,  ,314.3,22593,  
Contra Costa,01-11-2021,01-02-2021,1,1,11-09-2020,1,10.7,45.4,48.6,0.936,505.4,1160099,15.8
Del Norte,01-11-2021,01-02-2021,1,1,08-31-2020,1,4.3,23.3,23.3,  ,611.7,27558,  
El Dorado,01-11-2021,01-02-2021,1,1,09-21-2020,1,16.1,54.8,50.4,1.088,349.7,193098,16.6
Fresno,01-11-2021,01-02-2021,1,1,09-28-2020,1,19.4,76.0,81.6,0.932,508.8,1032227,22.1
Glenn,01-11-2021,01-02-2021,1,1,10-26-2020,1,21.9,74.5,74.5,  ,346.6,29348,  
Humboldt,01-11-2021,01-02-2021,1,2,01-11-2021,1,6.5,25.2,25.1,1.002,445.8,134098,4.6
Imperial,01-11-2021,01-02-2021,1,1,08-31-2020,1,18.1,70.1,66.4,1.055,385.7,191649,20.6
Inyo,01-11-2021,01-02-2021,1,1,10-05-2020,1,11.9,49.5,49.5,  ,369.3,18453,  
Kern,01-11-2021,01-02-2021,1,1,10-12-2020,1,24.0,81.7,77.4,1.056,385.3,927251,28.5
Kings,01-11-2021,01-02-2021,1,1,10-12-2020,1,18.0,72.2,83.5,0.865,568.4,156444,20.2
Lake,01-11-2021,01-02-2021,1,1,08-31-2020,1,13.8,46.2,46.2,  ,411.4,64871,  
Lassen,01-11-2021,01-02-2021,1,1,09-21-2020,1,9.4,59.4,59.4,  ,730.8,30065,  
Los Angeles,01-11-2021,01-02-2021,1,1,08-31-2020,1,20.5,77.0,127.3,0.605,801.4,10257557,26.3
Madera,01-11-2021,01-02-2021,1,1,08-31-2020,1,18.6,64.5,61.8,1.044,398.4,160089,22.2
Marin,01-11-2021,01-02-2021,1,1,10-26-2020,1,5.3,23.0,31.9,0.722,696.9,260800,8.7
Mariposa,01-11-2021,01-02-2021,2,2,09-21-2020,1,8.1,35.3,35.3,  ,488.1,17795,  
Mendocino,01-11-2021,01-02-2021,1,1,10-26-2020,1,8.1,33.3,33.3,  ,472.6,88439,  
Merced,01-11-2021,01-02-2021,1,1,10-05-2020,1,16.1,69.5,75.6,0.920,519.4,287420,15.0
Modoc,01-11-2021,01-02-2021,1,1,11-09-2020,1,11.2,28.6,28.6,  ,242.7,9475,  
Mono,01-11-2021,01-02-2021,1,1,08-31-2020,1,10.9,48.1,48.1,  ,396.0,13961,  
Monterey,01-11-2021,01-02-2021,1,1,08-31-2020,1,20.0,84.3,89.5,0.942,499.6,448732,28.6
Napa,01-11-2021,01-02-2021,1,1,10-19-2020,1,10.3,42.7,56.2,0.760,663.0,139652,14.6
Nevada,01-11-2021,01-02-2021,1,1,09-21-2020,1,10.1,28.9,28.9,  ,318.0,98710,  
Orange,01-11-2021,01-02-2021,1,1,09-07-2020,1,19.5,78.8,91.3,0.863,570.4,3228519,24.2
Placer,01-11-2021,01-02-2021,1,1,11-09-2020,1,13.8,53.0,50.3,1.053,388.3,400434,13.2
Plumas,01-11-2021,01-02-2021,1,1,10-26-2020,1,6.5,21.8,21.8,  ,370.7,18997,  
Riverside,01-11-2021,01-02-2021,1,1,10-19-2020,1,25.8,107.2,127.5,0.841,590.2,2468145,27.6
Sacramento,01-11-2021,01-02-2021,1,1,11-09-2020,1,14.0,56.6,57.6,0.984,462.4,1567975,18.2
San Benito,01-11-2021,01-02-2021,1,1,10-12-2020,1,16.3,95.9,95.9,  ,662.5,64022,  
San Bernardino,01-11-2021,01-02-2021,1,1,08-31-2020,1,24.1,102.8,140.2,0.733,686.6,2217398,26.0
San Diego,01-11-2021,01-02-2021,1,1,11-09-2020,1,16.4,69.7,89.8,0.777,647.5,3370418,22.8
San Francisco,01-11-2021,01-02-2021,1,1,10-19-2020,1,4.7,19.8,31.6,0.625,783.9,892280,9.0
San Joaquin,01-11-2021,01-02-2021,1,1,09-28-2020,1,18.6,73.2,72.7,1.006,440.8,782545,18.9
San Luis Obispo,01-11-2021,01-02-2021,1,1,09-21-2020,1,11.1,46.0,55.0,0.836,594.6,278862,11.4
San Mateo,01-11-2021,01-02-2021,1,1,10-26-2020,1,8.4,36.3,52.9,0.687,728.2,778001,14.1
Santa Barbara,01-11-2021,01-02-2021,1,1,09-28-2020,1,16.8,64.0,64.8,0.987,459.7,456373,21.7
Santa Clara,01-11-2021,01-02-2021,1,1,10-12-2020,1,9.5,40.4,58.8,0.687,727.9,1967585,16.1
Santa Cruz,01-11-2021,01-02-2021,1,1,11-09-2020,1,12.3,53.2,59.0,0.902,535.7,273999,22.7
Shasta,01-11-2021,01-02-2021,1,1,10-26-2020,1,9.4,48.3,43.8,1.103,332.6,177925,8.5
Sierra,01-11-2021,01-02-2021,3,3,10-12-2020,1,8.3,22.9,22.9,  ,330.2,3115,  
Siskiyou,01-11-2021,01-02-2021,1,1,11-09-2020,1,13.7,18.9,18.9,  ,151.5,43956,  
Solano,01-11-2021,01-02-2021,1,1,09-21-2020,1,14.1,59.6,64.3,0.926,513.6,444255,14.9
Sonoma,01-11-2021,01-02-2021,1,1,08-31-2020,1,9.1,40.6,46.6,0.873,561.7,496668,14.6
