County,Date of Tier Assessment,Ending Date of Week of Data: 01-10-21 to 01-16-21,"Final Tier Assignment, 01-25-21 Assessment","Previous Tier Assignment, 01-18-21 Assessment",First Date in Current Tier,"Tier for Week 01-10-21 to 01-16-21, 01-25-21 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=447.67",Population^,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)"
Alameda,01-25-2021,01-16-2021,1,1,10-12-2020,1,7.2,28.9,41.1,0.703,713.5,1685886,10.8
Alpine,01-25-2021,01-16-2021,2,2,08-31-2020,4,0.0,0.0,0.0,  ,792.9,1117,  
Amador,01-25-2021,01-16-2021,1,1,11-09-2020,1,5.5,14.8,14.8,  ,463.8,38531,  
Butte,01-25-2021,01-16-2021,1,1,10-19-2020,1,10.6,38.0,37.1,1.023,422.2,217769,10.7
Calaveras,01-25-2021,01-16-2021,1,1,10-26-2020,1,11.9,41.9,41.9,  ,415.8,44289,  
Colusa,01-25-2021,01-16-2021,1,1,10-26-2020,1,16.1,55.0,55.0,  ,326.9,22593,  
Contra Costa,01-25-2021,01-16-2021,1,1,11-09-2020,1,9.0,35.2,44.0,0.800,626.5,1160099,13.5
Del Norte,01-25-2021,01-16-2021,1,1,08-31-2020,1,2.2,11.9,11.9,  ,586.8,27558,  
El Dorado,01-25-2021,01-16-2021,1,1,09-21-2020,1,10.2,35.3,33.0,1.071,368.7,193098,11.7
Fresno,01-25-2021,01-16-2021,1,1,09-28-2020,1,15.3,58.0,65.1,0.890,545.8,1032227,17.9
Glenn,01-25-2021,01-16-2021,1,1,10-26-2020,1,21.0,62.3,62.3,  ,347.1,29348,  
Humboldt,01-25-2021,01-16-2021,1,1,01-11-2021,1,6.8,24.3,23.7,1.026,418.4,134098,5.9
Imperial,01-25-2021,01-16-2021,1,1,08-31-2020,1,13.7,40.7,39.8,1.022,422.7,191649,16.7
Inyo,01-25-2021,01-16-2021,1,1,10-05-2020,1,15.0,88.3,88.3,  ,538.0,18453,  
Kern,01-25-2021,01-16-2021,1,1,10-12-2020,1,18.7,63.9,63.1,1.013,433.1,927251,23.7
Kings,01-25-2021,01-16-2021,1,1,10-12-2020,1,17.7,71.5,97.2,0.735,684.5,156444,21.2
Lake,01-25-2021,01-16-2021,1,1,08-31-2020,1,12.2,61.0,61.0,  ,608.0,64871,  
Lassen,01-25-2021,01-16-2021,1,1,09-21-2020,1,4.0,28.5,28.5,  ,851.5,30065,  
Los Angeles,01-25-2021,01-16-2021,1,1,08-31-2020,1,13.9,48.2,96.5,0.500,963.1,10257557,18.3
Madera,01-25-2021,01-16-2021,1,1,08-31-2020,1,17.8,61.1,61.7,0.991,455.9,160089,21.0
Marin,01-25-2021,01-16-2021,1,1,10-26-2020,1,4.4,16.8,28.6,0.585,819.0,260800,7.8
Mariposa*,01-25-2021,01-16-2021,2,2,09-21-2020,1,3.2,12.8,12.8,  ,549.9,17795,  
Mendocino,01-25-2021,01-16-2021,1,1,10-26-2020,1,6.1,20.4,20.4,  ,471.5,88439,  
Merced,01-25-2021,01-16-2021,1,1,10-05-2020,1,13.6,60.5,77.5,0.781,644.0,287420,12.4
Modoc,01-25-2021,01-16-2021,1,1,11-09-2020,2,1.3,6.0,6.0,  ,233.7,9475,  
Mono,01-25-2021,01-16-2021,1,1,08-31-2020,1,12.8,80.8,80.8,  ,721.4,13961,  
Monterey,01-25-2021,01-16-2021,1,1,08-31-2020,1,16.1,66.6,76.2,0.875,559.9,448732,23.0
