County,Date of Tier Assessment,Ending Date of Week of Data: 01-17-21 to 01-23-21,Final Tier Assignment for 02-02-21,"Previous Tier Assignment, 01-25-21 Assessment",First Date in Current Tier,"Tier for Week 01-17-21 to 01-23-21, 02-01-21 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=479.82",Population^,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)"
Alameda,02-01-2021,01-23-2021,1,1,11-16-2020,1,5.2,23.1,27.5,0.839,634.6,1685886,8.2
Alpine,02-01-2021,01-23-2021,3,2,02-01-2021,4,0.0,0.0,0.0, ,537.2,1117,    - 
Amador,02-01-2021,01-23-2021,1,1,12-07-2020,1,3.1,12.2,12.2, ,461.2,38531,    - 
Butte,02-01-2021,01-23-2021,1,1,11-16-2020,1,7.8,25.5,23.2,1.098,362.8,217769,7.3
Calaveras,02-01-2021,01-23-2021,1,1,11-28-2020,1,10.2,34.2,34.2, ,377.1,44289,    - 
Colusa,02-01-2021,01-23-2021,1,1,11-24-2020,1,16.2,57.5,57.5, ,289.6,22593,    - 
Contra Costa,02-01-2021,01-23-2021,1,1,11-16-2020,1,7.0,29.3,31.4,0.935,542.6,1160099,11.5
Del Norte,02-01-2021,01-23-2021,1,1,11-24-2020,2,1.6,5.7,5.7, ,561.9,27558,    - 
El Dorado,02-01-2021,01-23-2021,1,1,11-16-2020,1,7.6,23.8,20.9,1.140,312.1,193098,10.5
Fresno,02-01-2021,01-23-2021,1,1,11-16-2020,1,11.4,41.4,41.7,0.993,487.0,1032227,13.2
Glenn,02-01-2021,01-23-2021,1,1,11-16-2020,1,12.8,37.5,37.5, ,327.1,29348,    - 
Humboldt,02-01-2021,01-23-2021,1,1,01-11-2021,1,7.4,22.7,20.9,1.089,373.4,134098,5.2
