County,Date of Tier Assessment,Ending Date of Week of Data: 01-31-21 to 02-06-21,FInal Tier Assignment for 02-16-21,"Previous Tier Assignment, 02-08-21 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 01-31-21 to 02-06-21, 02-15-21 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate,"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=424.58",Population,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier,Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier,Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier,Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria
Alameda,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,3.6,12.6,16.4,0.766,622.9,1685886,NA,5.9,Yes,2,No,0
Alpine*,02-15-2021,02-06-2021,3,3,02-01-2021,NA,2,0,0,1,2.6,12.8,12.8,  ,486.0,1117,No,  ,NA,NA,NA,NA
Amador,02-15-2021,02-06-2021,1,1,12-07-2020,NA,10,0,NA,1,3.6,10.4,10.4,  ,408.9,38531,NA,  ,NA,NA,NA,NA
Butte,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,5.6,16.0,14.7,1.086,333.4,217769,NA,7.3,Yes,1,No,0
Calaveras,02-15-2021,02-06-2021,1,1,11-28-2020,NA,11,0,NA,1,8.0,21.3,21.3,  ,323.2,44289,NA,  ,NA,NA,NA,NA
Colusa,02-15-2021,02-06-2021,1,1,11-24-2020,NA,12,0,NA,1,7.8,20.9,20.9,  ,252.3,22593,NA,  ,NA,NA,NA,NA
Contra Costa,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,4.6,16.4,18.2,0.900,509.3,1160099,NA,7.3,Yes,1,No,0
Del Norte*,02-15-2021,02-06-2021,2,2,02-08-2021,NA,1,0,0,1,1.7,8.8,8.8,  ,536.0,27558,No,  ,NA,NA,NA,NA
El Dorado,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,5.4,14.7,13.2,1.117,300.4,193098,NA,7.0,Yes,2,No,0
Fresno,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,7.9,22.8,22.4,1.017,406.6,1032227,NA,10.0,No,0,No,0
Glenn,02-15-2021,02-06-2021,1,1,11-16-2020,NA,13,0,NA,1,13.9,30.7,30.7,  ,244.8,29348,NA,  ,NA,NA,NA,NA
Humboldt,02-15-2021,02-06-2021,1,1,01-11-2021,No,5,1,NA,1,4.2,9.0,8.2,1.096,322.7,134098,NA,4.1,Yes,5,Yes,1
Imperial,02-15-2021,02-06-2021,1,1,08-31-2020,No,25,0,NA,1,7.5,18.4,17.0,1.080,339.5,191649,NA,7.5,Yes,2,No,0
Inyo,02-15-2021,02-06-2021,1,1,12-14-2020,NA,9,0,NA,1,8.8,41.0,41.0,  ,491.6,18453,NA,  ,NA,NA,NA,NA
Kern,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,10.2,26.8,24.6,1.090,329.6,927251,NA,13.5,No,0,No,0
Kings,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,8.8,32.8,38.5,0.851,551.5,156444,NA,10.5,No,0,No,0
Lake,02-15-2021,02-06-2021,1,1,11-28-2020,NA,11,0,NA,1,6.9,20.0,20.0,  ,392.0,64871,NA,  ,NA,NA,NA,NA
Lassen,02-15-2021,02-06-2021,1,1,11-24-2020,NA,12,0,NA,1,3.8,17.1,17.1,  ,706.6,30065,NA,  ,NA,NA,NA,NA
Los Angeles,02-15-2021,02-06-2021,1,1,08-31-2020,No,25,0,NA,1,7.2,20.0,29.0,0.691,686.7,10257557,NA,10.1,No,0,No,0
Madera,02-15-2021,02-06-2021,1,1,08-31-2020,No,25,0,NA,1,8.1,20.4,19.0,1.071,348.7,160089,NA,13.6,No,0,No,0
Marin,02-15-2021,02-06-2021,1,1,12-07-2020,No,10,1,NA,1,2.4,8.9,11.9,0.742,643.6,260800,NA,3.8,Yes,4,Yes,1
Mariposa,02-15-2021,02-06-2021,2,2,11-28-2020,NA,11,0,0,2,1.8,4.8,4.8,  ,355.6,17795,No,  ,NA,NA,NA,NA
Mendocino,02-15-2021,02-06-2021,1,1,11-16-2020,NA,13,0,NA,1,7.2,23.3,23.3,  ,381.5,88439,NA,  ,NA,NA,NA,NA
Merced,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,7.5,26.8,30.9,0.868,536.7,287420,NA,7.9,Yes,1,No,0
Modoc,02-15-2021,02-06-2021,1,1,11-28-2020,NA,11,0,NA,1,5.7,21.1,21.1,  ,318.1,9475,NA,  ,NA,NA,NA,NA
Mono,02-15-2021,02-06-2021,1,1,11-30-2020,NA,11,0,NA,1,7.2,20.5,20.5,  ,298.8,13961,NA,  ,NA,NA,NA,NA
Monterey,02-15-2021,02-06-2021,1,1,08-31-2020,No,25,0,NA,1,7.8,24.0,23.7,1.014,410.0,448732,NA,14.1,No,0,No,0
Napa,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,4.6,14.2,18.6,0.761,627.8,139652,NA,6.1,Yes,2,No,0
Nevada,02-15-2021,02-06-2021,1,1,11-16-2020,NA,13,0,NA,1,5.7,14.0,14.0,  ,361.5,98710,NA,  ,NA,NA,NA,NA
Orange,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,7.8,20.7,21.0,0.987,435.5,3228519,NA,10.7,No,0,No,0
Placer,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,4.8,12.7,11.5,1.105,312.7,400434,NA,6.6,Yes,3,No,0
Plumas,02-15-2021,02-06-2021,2,1,02-15-2021,NA,0,0,0,2,0.9,6.0,6.0,  ,476.0,18997,NA,  ,NA,NA,NA,NA
Riverside,02-15-2021,02-06-2021,1,1,10-19-2020,No,18,0,NA,1,11.0,28.8,29.2,0.987,435.8,2468145,NA,11.8,No,0,No,0
Sacramento,02-15-2021,02-06-2021,1,1,11-09-2020,No,15,0,NA,1,6.0,18.7,18.1,1.036,386.1,1567975,NA,9.2,No,0,No,0
San Benito,02-15-2021,02-06-2021,1,1,11-16-2020,NA,13,0,NA,1,7.3,22.3,22.3,  ,484.4,64022,NA,  ,NA,NA,NA,NA
San Bernardino,02-15-2021,02-06-2021,1,1,08-31-2020,No,25,0,NA,1,8.2,24.4,25.4,0.961,457.4,2217398,NA,8.7,No,0,No,0
San Diego,02-15-2021,02-06-2021,1,1,11-09-2020,No,15,0,NA,1,6.4,22.2,25.9,0.860,543.5,3370418,NA,9.7,No,0,No,0
San Francisco,02-15-2021,02-06-2021,1,1,11-28-2020,No,11,0,NA,1,2.6,8.9,14.7,0.609,756.5,892280,NA,5.4,Yes,5,No,0
San Joaquin,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,7.8,25.1,24.4,1.031,392.1,782545,NA,10.3,No,0,No,0
San Luis Obispo,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,4.3,15.6,29.5,0.529,824.5,278862,NA,5.9,Yes,5,No,0
San Mateo,02-15-2021,02-06-2021,1,1,11-28-2020,No,11,1,NA,1,2.8,9.6,19.3,0.500,875.6,778001,NA,4.6,Yes,3,Yes,1
Santa Barbara,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,8.2,27.0,31.7,0.852,549.9,456373,NA,13.3,No,0,No,0
Santa Clara,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,3.2,10.9,17.7,0.617,749.7,1967585,NA,6.5,Yes,1,No,0
Santa Cruz,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,3.5,12.2,16.2,0.750,636.4,273999,NA,7.8,Yes,1,No,0
Shasta,02-15-2021,02-06-2021,1,1,11-02-2020,No,15,1,NA,1,3.9,14.8,13.5,1.098,320.8,177925,NA,3.5,Yes,5,Yes,1
Sierra*,02-15-2021,02-06-2021,3,3,11-16-2020,NA,13,0,0,2,1.3,4.6,4.6,  ,344.0,3115,No,  ,NA,NA,NA,NA
Siskiyou,02-15-2021,02-06-2021,1,1,11-16-2020,NA,13,0,NA,1,11.2,15.6,15.6,  ,177.1,43956,NA,  ,NA,NA,NA,NA
Solano,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,5.3,18.4,19.2,0.962,457.0,444255,NA,6.8,Yes,1,No,0
Sonoma,02-15-2021,02-06-2021,1,1,08-31-2020,No,25,0,NA,1,4.0,13.8,15.3,0.902,507.9,496668,NA,5.4,Yes,1,No,0
Stanislaus,02-15-2021,02-06-2021,1,1,11-16-2020,No,13,0,NA,1,9.0,31.3,33.1,0.948,468.8,562303,NA,10.2,No,0,No,0
