County,Date of Tier Assessment,Ending Date of Week of Data: 02-14-21 to 02-20-21,Final Tier Assignment for 03-02-21,"Previous Tier Assignment, 02-22-21 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 02-14-21 to 02-20-21, 03-01-21 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate,"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=346.59",Population^,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier,Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier,Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier,Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria
Alameda,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,1,0,2,2.4,6.3,8.2,0.763,510.7,1685886,NA,3.7,Yes,4,No,0
Alpine,03-01-2021,02-20-2021,3,3,02-01-2021,NA,4,1,0,4,0.0,0.0,0.0,  ,383.7,1117,No,    - ,NA,NA,NA,NA
Amador,03-01-2021,02-20-2021,1,1,12-07-2020,NA,12,0,NA,1,3.1,8.2,8.2,  ,390.8,38531,NA,    - ,NA,NA,NA,NA
Butte,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,1,NA,1,3.7,8.0,7.3,1.090,269.0,217769,NA,4.7,Yes,3,Yes,1
Calaveras,03-01-2021,02-20-2021,1,1,11-28-2020,NA,13,1,0,2,3.6,4.5,4.5,  ,227.1,44289,NA,    - ,NA,NA,NA,NA
Colusa,03-01-2021,02-20-2021,1,1,11-24-2020,NA,14,0,NA,1,3.0,8.2,8.2,  ,228.3,22593,NA,    - ,NA,NA,NA,NA
Contra Costa,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,0,NA,1,3.5,9.5,10.9,0.877,432.2,1160099,NA,5.6,Yes,3,No,0
Del Norte*,03-01-2021,02-20-2021,2,2,02-08-2021,NA,3,0,0,1,2.6,11.4,11.4,  ,533.9,27558,No,    - ,NA,NA,NA,NA
El Dorado,03-01-2021,02-20-2021,2,1,03-01-2021,Yes,0,0,0,1,4.1,7.6,6.8,1.124,239.5,193098,NA,4.0,Yes,0,Yes,0
Fresno,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,0,NA,1,6.0,14.0,13.9,1.011,336.9,1032227,NA,7.1,Yes,1,No,0
Glenn,03-01-2021,02-20-2021,1,1,11-16-2020,NA,15,0,NA,1,5.5,10.7,10.7,  ,196.2,29348,NA,    - ,NA,NA,NA,NA
Humboldt,03-01-2021,02-20-2021,2,2,02-22-2021,No,1,0,1,1,3.0,8.2,8.2,  ,325.2,134098,NA,2.6,Yes,1,No,0
Imperial,03-01-2021,02-20-2021,1,1,08-31-2020,No,27,1,0,2,3.3,5.7,5.7,  ,253.9,191649,NA,5.2,Yes,4,No,0
Inyo,03-01-2021,02-20-2021,1,1,12-14-2020,NA,11,0,NA,1,10.0,32.5,32.5,  ,380.9,18453,NA,    - ,NA,NA,NA,NA
Kern,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,0,NA,1,5.9,13.6,12.5,1.092,267.1,927251,NA,9.2,No,0,No,0
Kings,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,0,NA,1,5.6,16.0,18.6,0.860,443.6,156444,NA,5.5,Yes,2,No,0
Lake,03-01-2021,02-20-2021,1,1,11-28-2020,NA,13,0,NA,1,4.9,11.0,11.0,  ,327.0,64871,NA,    - ,NA,NA,NA,NA
Lassen,03-01-2021,02-20-2021,2,1,03-01-2021,NA,0,0,0,2,1.1,4.3,4.3,  ,625.3,30065,NA,    - ,NA,NA,NA,NA
Los Angeles,03-01-2021,02-20-2021,1,1,08-31-2020,No,27,0,NA,1,3.5,7.2,9.7,0.745,523.2,10257557,NA,5.1,Yes,2,No,0
Madera,03-01-2021,02-20-2021,1,1,08-31-2020,No,27,0,NA,1,4.8,10.8,11.5,0.940,388.2,160089,NA,8.1,No,0,No,0
Marin,03-01-2021,02-20-2021,2,2,02-22-2021,Yes,1,0,0,2,1.9,5.5,7.7,0.723,538.9,260800,NA,2.6,Yes,1,No,0
Mariposa,03-01-2021,02-20-2021,2,2,11-28-2020,NA,13,1,0,3,1.7,2.4,2.4,  ,370.9,17795,No,    - ,NA,NA,NA,NA
Mendocino,03-01-2021,02-20-2021,1,1,11-16-2020,NA,15,0,NA,1,2.7,7.3,7.3,  ,288.3,88439,NA,    - ,NA,NA,NA,NA
Merced,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,0,NA,1,6.5,16.5,18.3,0.897,417.7,287420,NA,6.3,Yes,3,No,0
Modoc,03-01-2021,02-20-2021,2,1,03-01-2021,NA,0,0,0,3,0.0,1.5,1.5,  ,262.3,9475,NA,    - ,NA,NA,NA,NA
Mono,03-01-2021,02-20-2021,1,1,11-30-2020,NA,13,1,0,2,2.6,5.1,5.1,  ,193.4,13961,NA,    - ,NA,NA,NA,NA
Monterey,03-01-2021,02-20-2021,1,1,08-31-2020,No,27,0,NA,1,4.6,10.1,10.0,1.010,337.6,448732,NA,8.1,No,0,No,0
Napa,03-01-2021,02-20-2021,2,1,03-01-2021,No,0,0,0,2,2.3,5.9,8.8,0.671,574.4,139652,NA,3.8,Yes,0,No,0
Nevada,03-01-2021,02-20-2021,1,1,11-16-2020,NA,15,0,NA,1,5.5,11.3,11.3,  ,286.4,98710,NA,    - ,NA,NA,NA,NA
Orange,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,0,NA,1,3.9,7.6,7.5,1.013,335.1,3228519,NA,5.0,Yes,2,No,0
Placer,03-01-2021,02-20-2021,1,1,11-16-2020,No,15,1,0,2,2.9,6.0,6.0,  ,270.6,400434,NA,3.1,Yes,5,No,0
Plumas,03-01-2021,02-20-2021,2,2,02-15-2021,NA,2,1,0,3,0.3,1.5,1.5,  ,458.0,18997,No,    - ,NA,NA,NA,NA
Riverside,03-01-2021,02-20-2021,1,1,10-19-2020,No,20,0,NA,1,5.8,11.3,11.0,1.032,319.2,2468145,NA,6.1,Yes,1,No,0
Sacramento,03-01-2021,02-20-2021,1,1,11-09-2020,No,17,0,NA,1,4.7,12.0,11.9,1.002,345.1,1567975,NA,6.6,Yes,1,No,0
San Benito,03-01-2021,02-20-2021,1,1,11-16-2020,NA,15,0,NA,1,5.6,10.0,10.0,  ,348.1,64022,NA,    - ,NA,NA,NA,NA
San Bernardino,03-01-2021,02-20-2021,1,1,08-31-2020,No,27,0,NA,1,4.4,9.0,9.1,0.991,353.1,2217398,NA,5.2,Yes,2,No,0
San Diego,03-01-2021,02-20-2021,1,1,11-09-2020,No,17,0,NA,1,4.2,10.8,11.3,0.960,374.3,3370418,NA,6.0,Yes,2,No,0
