County,Date of Tier Assessment,Ending Date of Week of Data: 02-21-21 to 02-27-21,Final Tier Assignment for 03-09-21,"Previous Tier Assignment, 03-01-21 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 02-21-21 to 02-27-21, 03-08-21 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate,"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=341.74",Population^,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier (Non-Accelerated),Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier (Non-Accelerated),Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier (If No Progression Via Non-Accelerated Criteria),Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria
Alameda,03-08-2021,02-27-2021,2,1,03-08-2021,No,0,0,0,2,1.8,4.8,7.1,0.674,564.7,1685886,NA,2.6,Yes,0,No,0
Alpine,03-08-2021,02-27-2021,4,3,03-08-2021,NA,0,NA,0,4,0.0,0.0,0.0,   ,358.1,1117,No,   ,NA,NA,NA,NA
Amador,03-08-2021,02-27-2021,1,1,12-07-2020,NA,13,0,NA,1,2.5,10.4,10.4,   ,446.8,38531,NA,   ,NA,NA,NA,NA
Butte,03-08-2021,02-27-2021,2,1,03-08-2021,Yes,0,0,0,1,3.6,7.3,6.6,1.099,256.8,217769,NA,4.6,Yes,0,Yes,0
Calaveras,03-08-2021,02-27-2021,2,1,03-08-2021,NA,0,0,0,2,2.4,4.8,4.8,   ,237.7,44289,NA,   ,NA,NA,NA,NA
Colusa,03-08-2021,02-27-2021,1,1,11-24-2020,NA,15,1,0,2,2.9,5.7,5.7,   ,219.4,22593,NA,   ,NA,NA,NA,NA
Contra Costa,03-08-2021,02-27-2021,1,1,11-16-2020,No,16,1,NA,1,2.9,7.9,9.2,0.859,438.2,1160099,NA,4.9,Yes,4,Yes,1
Del Norte*,03-08-2021,02-27-2021,2,2,02-08-2021,NA,4,0,0,1,2.9,11.9,11.9,   ,585.8,27558,No,   ,NA,NA,NA,NA
El Dorado,03-08-2021,02-27-2021,2,2,03-01-2021,Yes,1,0,0,1,3.6,7.1,6.5,1.095,260.9,193098,NA,5.8,No,0,No,0
Fresno,03-08-2021,02-27-2021,1,1,11-16-2020,No,16,0,NA,1,5.3,12.6,12.6,1.000,341.6,1032227,NA,6.8,Yes,2,No,0
Glenn,03-08-2021,02-27-2021,1,1,11-16-2020,NA,16,0,NA,1,5.8,11.2,11.2,   ,209.3,29348,NA,   ,NA,NA,NA,NA
Humboldt,03-08-2021,02-27-2021,2,2,02-22-2021,No,2,0,0,2,2.3,6.4,6.6,0.973,360.0,134098,NA,2.3,Yes,2,No,0
Imperial,03-08-2021,02-27-2021,2,1,03-08-2021,No,0,0,0,2,3.2,6.8,6.8,   ,291.1,191649,NA,4.1,Yes,0,No,0
