County,Date of Tier Assessment,Ending Date of Week of Data: 03-14-21 to 03-20-21,Final Tier Assignment for 03-30-21,"Previous Tier Assignment, 03-22-21 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 03-14-21 to 03-20-21, 03-29-21 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate,"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=
314.05",Population^,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier (Non-Accelerated),Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier (Non-Accelerated),Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier (If No Progression Via Non-Accelerated Criteria),Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria
Alameda,03-29-2021,03-20-2021,3,2,03-29-2021,No,0,0,0,3,1.1,2.6,3.7,0.724,487.6,1685886,NA,1.9,Yes,0,No,0
Alpine*,03-29-2021,03-20-2021,4,4,03-08-2021,NA,3,NA,0,1,4.3,12.8,12.8,   ,294.2,1117,No,   ,NA,NA,NA,NA
Amador,03-29-2021,03-20-2021,2,2,03-08-2021,NA,3,0,0,2,1.4,5.2,5.2,   ,384.1,38531,No,   ,NA,NA,NA,NA
Butte,03-29-2021,03-20-2021,3,2,03-29-2021,No,0,0,0,3,2.3,3.8,3.8,   ,208.5,217769,NA,3.6,Yes,0,No,0
Calaveras,03-29-2021,03-20-2021,2,2,03-08-2021,NA,3,0,0,2,3.0,6.5,6.5,   ,229.3,44289,No,   ,NA,NA,NA,NA
Colusa,03-29-2021,03-20-2021,3,2,03-29-2021,NA,0,0,0,4,0.7,0.6,0.6,   ,192.2,22593,No,   ,NA,NA,NA,NA
Contra Costa,03-29-2021,03-20-2021,2,2,03-08-2021,No,3,0,0,2,1.7,4.6,5.4,0.858,403.5,1160099,NA,3.0,Yes,3,No,0
Del Norte**,03-29-2021,03-20-2021,2,2,02-08-2021,NA,7,0,0,1,3.4,13.5,13.5,   ,639.2,27558,No,   ,NA,NA,NA,NA
El Dorado,03-29-2021,03-20-2021,2,2,03-01-2021,No,4,0,0,2,2.8,4.8,4.8,   ,237.0,193098,NA,3.5,Yes,3,No,0
Fresno,03-29-2021,03-20-2021,2,1,03-29-2021,No,0,0,0,2,3.8,8.2,8.2,1.006,309.3,1032227,NA,4.3,Yes,0,No,0
Glenn,03-29-2021,03-20-2021,2,1,03-29-2021,NA,0,0,0,2,4.8,9.7,9.7,   ,222.0,29348,NA,   ,NA,NA,NA,NA
Humboldt,03-29-2021,03-20-2021,2,2,02-22-2021,No,5,0,0,2,2.2,4.5,4.6,0.976,328.9,134098,NA,1.1,Yes,5,No,0
Imperial,03-29-2021,03-20-2021,2,2,03-08-2021,No,3,0,0,2,3.2,5.4,5.4,   ,271.9,191649,NA,4.3,Yes,3,No,0
Inyo,03-29-2021,03-20-2021,1,1,12-14-2020,NA,15,0,NA,1,2.8,10.1,10.1,   ,383.2,18453,NA,   ,NA,NA,NA,NA
Kern,03-29-2021,03-20-2021,2,2,03-22-2021,No,1,0,0,2,2.6,5.0,5.0,   ,269.5,927251,NA,3.8,Yes,1,No,0
Kings,03-29-2021,03-20-2021,2,1,03-29-2021,No,0,0,0,2,3.3,7.9,9.4,0.843,412.5,156444,NA,4.3,Yes,0,No,0
Lake,03-29-2021,03-20-2021,2,2,03-15-2021,NA,2,0,0,2,4.3,8.6,8.6,   ,268.7,64871,No,   ,NA,NA,NA,NA
Lassen,03-29-2021,03-20-2021,3,3,03-22-2021,NA,1,1,0,3,0.5,1.9,1.9,   ,712.3,30065,No,   ,NA,NA,NA,NA
Los Angeles,03-29-2021,03-20-2021,3,2,03-29-2021,No,0,0,0,3,1.5,3.1,3.8,0.801,438.9,10257557,NA,2.1,Yes,0,No,0
Madera,03-29-2021,03-20-2021,2,1,03-29-2021,No,0,0,0,2,2.3,4.8,5.6,0.858,403.0,160089,NA,4.5,Yes,0,No,0
Marin,03-29-2021,03-20-2021,3,3,03-22-2021,No,1,0,0,3,1.2,3.1,4.3,0.714,494.0,260800,NA,2.2,No,0,No,0
Mariposa,03-29-2021,03-20-2021,3,3,03-08-2021,NA,3,0,0,3,1.0,2.4,2.4,   ,321.9,17795,No,   ,NA,NA,NA,NA
Mendocino,03-29-2021,03-20-2021,2,2,03-08-2021,NA,3,0,0,2,2.4,4.7,4.7,   ,231.2,88439,No,   ,NA,NA,NA,NA
Merced,03-29-2021,03-20-2021,1,1,11-16-2020,No,19,1,0,2,4.4,9.2,9.3,0.984,323.9,287420,NA,4.3,Yes,7,No,0
Modoc,03-29-2021,03-20-2021,3,2,03-29-2021,NA,0,0,0,4,0.0,0.0,0.0,   ,76.9,9475,No,   ,NA,NA,NA,NA
Mono**,03-29-2021,03-20-2021,2,2,03-08-2021,NA,3,0,0,1,4.6,15.3,15.3,   ,468.7,13961,No,   ,NA,NA,NA,NA
Monterey,03-29-2021,03-20-2021,2,2,03-15-2021,No,2,0,0,2,2.1,4.4,4.4,   ,264.1,448732,NA,3.4,Yes,2,No,0
Napa,03-29-2021,03-20-2021,2,2,03-01-2021,No,4,0,0,2,2.0,4.7,6.3,0.736,479.8,139652,NA,3.4,Yes,4,No,0
Nevada,03-29-2021,03-20-2021,2,2,03-22-2021,NA,1,0,0,2,2.4,6.9,6.9,   ,295.8,98710,No,   ,NA,NA,NA,NA
Orange,03-29-2021,03-20-2021,3,2,03-29-2021,No,0,0,0,3,1.7,2.8,2.8,   ,283.6,3228519,NA,2.6,Yes,0,No,0
Placer,03-29-2021,03-20-2021,2,2,03-08-2021,No,3,0,0,2,2.7,6.0,6.0,   ,287.8,400434,NA,4.5,Yes,3,No,0
