County,Date of Tier Assessment,Ending Date of Week of Data: 10-4-20 to 10-10-20,"Updated Tier Assignment, 10-19-20 Assessment","Previous Tier Assignment, 10-12-20 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,School Reopening Status as of 10-19-20,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 10-4-20 to 10-10-20, 10-19-20 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=239.21",Population^,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier,Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier,Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier,Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria,Notes About County's Tier Status for 10-19-20 Assessment
Alameda,10/19/2020,10/10/2020,3,3,10/12/2020,No,May Reopen,1,0,0,3,1.6,2.9,3.5,0.833,339.4,1685886,NA,2.7,No,0,No,0,
Alpine,10/19/2020,10/10/2020,4,4,8/31/2020,NA,May Reopen,7,NA,0,4,0,0,0,      ,460.4,1117,No,      ,NA,NA,NA,NA,
Amador,10/19/2020,10/10/2020,3,3,9/28/2020,NA,May Reopen,3,0,0,3,0.7,1.9,1.9,      ,361.5,38531,No,      ,NA,NA,NA,NA,
Butte,10/19/2020,10/10/2020,3,2,10/19/2020,No,May Reopen,0,0,0,3,1.8,3.3,3.5,0.921,286.2,217769,NA,1.4,Yes,0,No,0,
Calaveras,10/19/2020,10/10/2020,3,3,9/28/2020,NA,May Reopen,3,1,0,4,0.1,0.6,0.6,      ,217.7,44289,No,      ,NA,NA,NA,NA,
Colusa,10/19/2020,10/10/2020,2,2,10/12/2020,NA,May Not Reopen,1,1,0,3,2.9,1.9,1.9,      ,131.5,22593,No,      ,NA,NA,NA,NA,
Contra Costa,10/19/2020,10/10/2020,2,2,9/28/2020,No,May Reopen,3,1,0,3,1.9,3.8,4.2,0.905,295.8,1160099,NA,3,Yes,2,No,0,
Del Norte**,10/19/2020,10/10/2020,3,3,8/31/2020,NA,May Reopen,7,0,0,2,3.9,6.2,6.2,      ,215.1,27558,No,      ,NA,NA,NA,NA,"Small County: Held harmless, did not exceed case number threshold."
El Dorado,10/19/2020,10/10/2020,3,3,9/21/2020,No,May Reopen,4,0,0,3,1.2,2.1,2.1,      ,212.3,193098,NA,1.1,Yes,1,No,0,
Fresno^^,10/19/2020,10/10/2020,2,2,9/28/2020,No,May Reopen,3,0,1,1,5.2,7.3,7,1.041,214.6,1032227,NA,7.9,No,0,No,0,
Glenn,10/19/2020,10/10/2020,1,1,8/31/2020,NA,May Not Reopen,7,1,0,2,4,5.8,5.8,      ,234.1,29348,NA,      ,NA,NA,NA,NA,
Humboldt***,10/19/2020,10/10/2020,4,4,10/5/2020,Yes,May Reopen,2,NA,0,3,0.5,1,1,      ,205.5,134098,NA,1,NA,NA,NA,NA,Accelerated Health Equity: Remains in tier moved to via accelerated HE criteria.
Imperial,10/19/2020,10/10/2020,1,1,8/31/2020,No,May Not Reopen,7,0,NA,1,5.8,11.5,13.6,0.851,328.5,191649,NA,10.3,No,0,No,0,
Inyo**,10/19/2020,10/10/2020,3,3,10/5/2020,NA,May Reopen,2,0,0,2,0.4,7,7,      ,202.8,18453,No,      ,NA,NA,NA,NA,"Small County: Held harmless, did not exceed case number threshold."
Kern,10/19/2020,10/10/2020,2,2,10/12/2020,No,May Not Reopen,1,0,0,2,4.4,6.2,5.7,1.076,194,927251,NA,5.5,No,0,No,0,
Kings,10/19/2020,10/10/2020,2,2,10/12/2020,No,May Not Reopen,1,1,0,3,2,3.9,4.6,0.851,328.3,156444,NA,1.4,Yes,1,No,0,
Lake**,10/19/2020,10/10/2020,2,2,8/31/2020,NA,May Reopen,7,0,0,1,4.3,7.9,7.9,      ,268.4,64871,No,      ,NA,NA,NA,NA,"Small County: Held harmless, did not exceed case number threshold."
Lassen,10/19/2020,10/10/2020,3,3,9/21/2020,NA,May Reopen,4,0,0,3,1,1.4,1.4,      ,248,30065,No,      ,NA,NA,NA,NA,
Los Angeles*,10/19/2020,10/10/2020,1,1,8/31/2020,No,May Not Reopen,7,0,NA,1,3.4,7.6,10.1,0.754,386.3,10257557,NA,5.9,Yes,4,No,0,
Madera,10/19/2020,10/10/2020,1,1,8/31/2020,No,May Not Reopen,7,1,0,2,3.4,4.8,4.8,      ,208.3,160089,NA,4.9,Yes,4,No,0,
Marin,10/19/2020,10/10/2020,2,2,9/14/2020,No,May Reopen,5,1,0,3,1.6,3.1,5,0.622,465.1,260800,NA,2.8,Yes,3,No,0,
