County,Date of Tier Assessment,Ending Date of Week of Data: 10-11-20 to 10-17-20,"Updated Tier Assignment, 10-26-20 Assessment","Previous Tier Assignment, 10-19-20 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,School Reopening Status as of 10-26-20,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 10-11-20 to 10-17-20, 10-26-20 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=239.21",Population,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier,Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier,Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier,Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria,Notes About County's Tier Status for 10-26-20 Assessment
Alameda,10-26-2020,10-17-2020,3,3,10-12-2020,No,May Reopen,2,0,0,3,1.6,3.3,4.0,0.811,352.3,1685886,NA,2.6,No,0,No,0,
Alpine,10-26-2020,10-17-2020,4,4,08-31-2020,NA,May Reopen,8,NA,0,4,0.0,0.0,0.0,   ,792.9,1117,No,,NA,NA,NA,NA,
Amador,10-26-2020,10-17-2020,3,3,09-28-2020,NA,May Reopen,4,0,0,3,1.1,2.2,2.2,   ,209.8,38531,No,,NA,NA,NA,NA,
Butte,10-26-2020,10-17-2020,3,3,10-19-2020,No,May Reopen,1,0,0,3,1.2,2.5,2.6,0.937,276.9,217769,NA,0.7,Yes,1,No,0,
Calaveras***,10-26-2020,10-17-2020,4,3,10-26-2020,NA,May Reopen,0,NA,0,3,1.9,1.3,1.3,   ,208.7,44289,No,,NA,NA,NA,NA,Small County moved to yellow tier by new criteria (case rate less than or equal to 2)
Colusa,10-26-2020,10-17-2020,2,2,10-12-2020,NA,May Reopen,2,2,0,3,1.6,1.9,1.9,   ,120.1,22593,No,,NA,NA,NA,NA,
Contra Costa,10-26-2020,10-17-2020,3,2,10-26-2020,No,May Reopen,0,0,0,3,1.9,3.7,4.1,0.893,303.2,1160099,NA,3.9,Yes,0,No,0,
Del Norte,10-26-2020,10-17-2020,3,3,08-31-2020,NA,May Reopen,8,1,0,3,0.5,1.6,1.6,   ,535.0,27558,No,,NA,NA,NA,NA,
El Dorado,10-26-2020,10-17-2020,3,3,09-21-2020,No,May Reopen,5,0,0,3,1.1,2.4,2.4,   ,223.4,193098,NA,1.3,Yes,2,No,0,
Fresno,10-26-2020,10-17-2020,2,2,09-28-2020,No,May Reopen,4,0,0,2,5.0,6.7,6.6,1.015,230.4,1032227,NA,6.8,No,0,No,0,
Glenn,10-26-2020,10-17-2020,2,1,10-26-2020,NA,May Not Reopen,0,0,0,2,3.6,5.4,5.4,   ,188.4,29348,NA,,NA,NA,NA,NA,
Humboldt^***,10-26-2020,10-17-2020,4,4,10-05-2020,Yes,May Reopen,3,NA,1,3,1.5,2.8,2.8,   ,232.2,134098,NA,0.9,NA,NA,NA,NA,Accelerated Health Equity: Remains in tier moved to via accelerated HE criteria.
Imperial,10-26-2020,10-17-2020,1,1,08-31-2020,No,May Not Reopen,8,0,NA,1,11.3,18.9,17.7,1.070,197.1,191649,NA,14.4,No,0,No,0,
Inyo^^,10-26-2020,10-17-2020,3,3,10-05-2020,NA,May Reopen,3,0,1,1,5.0,12.4,12.4,   ,185.8,18453,Yes,,NA,NA,NA,NA,
Kern,10-26-2020,10-17-2020,2,2,10-12-2020,No,May Reopen,2,0,0,2,4.2,6.3,5.8,1.097,181.0,927251,NA,6.3,No,0,No,0,
Kings,10-26-2020,10-17-2020,2,2,10-12-2020,No,May Reopen,2,0,0,2,2.7,4.6,5.0,0.911,292.6,156444,NA,5.5,No,0,No,0,
Lake,10-26-2020,10-17-2020,2,2,08-31-2020,NA,May Reopen,8,0,0,2,3.7,5.9,5.9,   ,241.6,64871,No,,NA,NA,NA,NA,
Lassen,10-26-2020,10-17-2020,3,3,09-21-2020,NA,May Reopen,5,0,0,3,0.5,2.9,2.9,   ,699.0,30065,No,,NA,NA,NA,NA,
Los Angeles*,10-26-2020,10-17-2020,1,1,08-31-2020,No,May Not Reopen,8,0,NA,1,3.7,8.0,11.0,0.722,405.6,10257557,NA,6.2,Yes,5,No,0,
Madera,10-26-2020,10-17-2020,1,1,08-31-2020,No,May Not Reopen,8,0,NA,1,5.7,8.7,8.1,1.077,193.3,160089,NA,7.4,Yes,5,No,0,
Marin,10-26-2020,10-17-2020,3,2,10-26-2020,No,May Reopen,0,0,0,3,1.4,2.6,4.2,0.625,463.4,260800,NA,2.4,Yes,0,No,0,
Mariposa,10-26-2020,10-17-2020,4,4,09-21-2020,NA,May Reopen,5,NA,0,4,0.7,0.8,0.8,   ,243.2,17795,No,,NA,NA,NA,NA,
Mendocino,10-26-2020,10-17-2020,2,1,10-26-2020,NA,May Not Reopen,0,0,0,2,2.9,6.9,6.9,   ,310.3,88439,NA,,NA,NA,NA,NA,
Merced,10-26-2020,10-17-2020,2,2,10-05-2020,No,May Reopen,3,0,0,2,2.8,5.0,5.0,   ,196.5,287420,NA,4.1,Yes,3,No,0,
