County,Date of Tier Assessment,Ending Date of Week of Data: 10-25-20 to 10-31-20,"Updated Tier Assignment, 11-09-20 Assessment","Previous Tier Assignment, 11-02-20 Assessment",First Date in Current Tier,County Tier Assignment Based on Meeting Accelerated Health Equity Criteria,School Reopening Status as of 11-09-20,Number of Weeks in Current Tier,Number of Consecutive Weeks Meeting Criteria for Less Restrictive Tier,Number of Consecutive Weeks Meeting Criteria for More Restrictive Tier,"Tier for Week 10-25-20 to 10-31-20, 11-09-20 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=272.41",Population^^,County Exceeds Minimum Number of Weekly Cases Based on Population and Current Tier,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)",HE Quartile (Test Positivity%) Within Threshold for Less Restrictive Tier,Number of Consecutive Weeks of Health Equity Metric Towards Movement to Less Restrictive Tier,Eligible for Accelerated Health Equity Criteria to Move to Less Restrictive Tier,Number of Consecutive Weeks Towards Movement to Less Restrictive Tier with Accelerated Healthy Equity Criteria
Alameda,11-09-2020,10-31-2020,3,3,10-12-2020,No,May Reopen,4,0,0,3,1.6,3.8,4.9,0.774,395.4,1685886,NA,2.8,No,0,No,0
Alpine^^,11-09-2020,10-31-2020,4,4,08-31-2020,NA,May Reopen,10,NA,0,1,1.8,25.6,25.6,   ,716.2,1117,No,   ,NA,NA,NA,NA
Amador^^,11-09-2020,10-31-2020,2,3,11-09-2020,NA,may reopen,0,0,0,1,2.5,8.9,8.9,   ,389.3,38531,Yes,   ,NA,NA,NA,NA
Butte^,11-09-2020,10-31-2020,3,3,10-19-2020,No,May Reopen,3,0,1,2,2.5,5.0,5.2,0.957,295.9,217769,NA,3.7,No,0,No,0
Calaveras,11-09-2020,10-31-2020,4,4,10-26-2020,NA,May Reopen,2,NA,0,3,1.6,3.9,3.9,   ,236.8,44289,No,   ,NA,NA,NA,NA
Colusa^,11-09-2020,10-31-2020,3,3,10-26-2020,NA,May Reopen,1,0,1,1,4.8,13.9,13.9,   ,250.4,22593,Yes,   ,NA,NA,NA,NA
Contra Costa,11-09-2020,10-31-2020,2,3,11-09-2020,No,May reopen,0,0,0,2,2.3,5.3,6.1,0.876,339.8,1160099,NA,4.1,No,0,No,0
Del Norte^^,11-09-2020,10-31-2020,3,3,08-31-2020,NA,May Reopen,10,0,0,2,1.2,4.1,4.1,   ,527.2,27558,No,   ,NA,NA,NA,NA
El Dorado*,11-09-2020,10-31-2020,2,3,11-09-2020,No,May Reopen,0,0,0,2,2.2,5.8,5.8,   ,247.2,193098,NA,1.1,Yes,0,No,0
Fresno^,11-09-2020,10-31-2020,2,2,09-28-2020,No,May Reopen,6,0,1,1,5.5,8.3,7.9,1.052,236.7,1032227,NA,8.3,No,0,No,0
