Location,Tier assignment on 11/10/20,Tier Assessment,FINAL TIER FOR 11/16,"Unadjusted Case Rate per 100,000, excl prisons (4 day lag)",Adjusted Case Rate,Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K)**,County Wide Test Positivity (4 day lag),Cases (exl_prison) 11-4 to 11-10,Pop Size,School Reopening Status,notes
Alameda*,3,2,1,9.1,7.0,0.774,2.5,1071,1685886,May not open,decision made to place in purple based on trend
Alpine,4,4,4,51.2,51.2,1,1.2,4,1117,May open,"small county, held harmless, no change"
Amador,2,3,2,7.0,7.0,1,2.9,19,38531,May open,was only in red tier for one week
Butte*,3,1,1,10.8,10.3,0.957,3.7,164,217769,May not open,
Calaveras,4,3,3,6.8,6.8,1,3.0,21,44289,May open,
Colusa,3,2,2,8.9,8.9,1,5.8,14,22593,May open,
Contra Costa*,2,1,1,11.4,10.0,0.876,3.7,923,1160099,May not open,
Del Norte,3,2,2,9.8,9.8,1,2.1,19,27558,May open,
El Dorado*,3,1,1,8.2,8.2,1,3.3,111,193098,May not open,
Fresno*,2,1,1,13.9,14.6,1.052,7.0,1006,1032227,May not open,
Glenn*,2,1,1,22.9,22.9,1,9.4,47,29348,May not open,
Humboldt,4,2,2,4.8,4.8,1,2.0,45,134098,May open,
Imperial,1,1,1,35.1,37.6,1.071,16.5,471,191649,May not open,
Inyo,3,3,3,6.2,6.2,1,3.1,8,18453,May open,"small county, held harmless, no change"
Kern*,2,1,1,16.1,17.9,1.11,8.0,1046,927251,May not open,
Kings*,2,1,1,15.7,12.9,0.822,4.6,172,156444,May not open,
Lake,2,2,2,5.7,5.7,1,2.9,26,64871,May open,"small county, held harmless, no change"
Lassen,3,3,3,5.7,5.7,1,1.4,12,30065,May open,"small county, held harmless, no change"
Los Angeles,1,1,1,20.6,13.7,0.663,5.3,14795,10257557,May not open,
Madera,1,1,1,12.8,14.0,1.101,6.5,143,160089,May not open,
Marin,3,2,2,6.2,4.3,0.692,1.5,113,260800,May open,
Mariposa,4,4,4,1.6,1.6,1,1.6,2,17795,May open,"small county, held harmless, no change"
Mendocino*,2,1,1,9.5,9.5,1,3.2,59,88439,May not open,
Merced*,2,1,1,16.1,16.8,1.044,6.4,323,287420,May not open,
Modoc,3,2,2,18.1,18.1,1,6.9,12,9475,May open,
Mono,3,2,2,18.4,18.4,1,5.3,18,13961,May open,
Monterey,1,1,1,14.9,14.1,0.947,6.1,468,448732,May not open,
Napa*,3,1,1,22.1,14.7,0.664,4.7,216,139652,May not open,
Nevada*,3,1,1,14.0,14.0,1,4.3,97,98710,May not open,
Orange*,2,1,1,10.8,10.8,1,4.6,2445,3228519,May not open,
Placer*,2,1,1,15.7,15.8,1.006,6.0,440,400434,May not open,
Plumas,3,2,2,18.8,18.8,1,6.0,25,18997,May open,
Riverside,1,1,1,21.1,22.4,1.064,8.9,3643,2468145,May not open,
Sacramento,1,1,1,21.1,21.2,1.002,7.1,2321,1567975,May not open,
San Benito*,2,1,1,15.8,15.8,1,6.3,71,64022,May not open,
San Bernardino,1,1,1,27.6,27.0,0.977,10.5,4286,2217398,May not open,
San Diego,1,1,1,12.1,10.7,0.885,4.3,2848,3370418,May not open,
San Francisco*,4,2,2,9.5,4.7,0.5,1.8,593,892280,May open,
San Joaquin*,2,1,1,15.2,16.4,1.078,7.4,832,782545,May not open,
San Luis Obispo*,2,1,1,17.7,12.5,0.71,5.1,345,278862,May not open,
San Mateo,3,2,2,10.4,5.7,0.544,2.1,568,778001,May open,
Santa Barbara*,2,1,1,7.7,7.1,0.928,2.7,245,456373,May not open,
Santa Clara*,3,1,1,11.9,7.6,0.639,2.5,1639,1967585,May not open,
Santa Cruz*,2,1,1,12.8,11.0,0.856,3.9,246,273999,May not open,
Shasta,1,1,1,41.8,34.0,0.814,8.4,520,177925,May not open,
Sierra,4,3,3,18.3,18.3,1,3.6,4,3115,May open,
Siskiyou*,3,1,1,14.6,14.6,1,7.2,45,43956,May not open,
Solano*,2,1,1,15.2,13.8,0.903,5.5,474,444255,May not open,
Sonoma,1,1,1,15.2,15.0,0.989,4.3,527,496668,May not open,
Stanislaus*,2,1,1,14.4,15.9,1.104,7.6,568,562303,May not open,
Sutter*,2,1,1,21.8,21.8,1,10.9,161,105747,May not open,
Tehama,1,1,1,29.7,29.7,1,11.0,137,65885,May not open,
Trinity*,3,1,1,25.7,25.7,1,10.3,24,13354,May not open,
Tulare,1,1,1,17.1,17.5,1.024,7.1,581,484423,May not open,
Tuolumne*,3,1,1,31.4,31.4,1,8.1,115,52351,May not open,
Ventura*,2,1,1,14.0,13.3,0.947,4.5,837,852747,May not open,
Yolo*,2,1,1,17.4,17.4,1,6.7,272,223612,May not open,
Yuba*,2,1,1,14.6,14.6,1,8.2,81,79290,May not open,
