County,Tier Assignment on 11/16,Final Tier for 11/24,Test Positivity Tier,"Test Positivity excl prisons (7-day, 4-day lag)",Case Rate or Case Number Tier,"Case Rate Used for Large Counties Tier (7-day avg, 4-day lag)","Total New Cases Used for Small Counties Tier (7-day total, 4-day lag)","Unadjusted Case Rate per 100,000 excl prisoners (7-day avg, 4-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=272.41",Population,Schools Reopening Status*
Alameda,1,1,3,2.8,1,7.1,1351,11.4,0.624,477.2,1685886,may not reopen
Alpine^,4,3,1,11.9,3,115.1,9,115.1,   ,537.2,1117,may reopen
Amador,2,2,3,3.3,2,10.0,27,10.0,   ,500.2,38531,may reopen
Butte,1,1,3,3.9,1,10.9,218,14.3,0.763,401.6,217769,may not reopen
Calaveras,3,2,3,4.5,2,12.6,39,12.6,   ,284.2,44289,may reopen
Colusa*,2,1,1,10.3,2,17.7,28,17.7,   ,214.4,22593,may not reopen
Contra Costa,1,1,3,3.7,1,9.7,1063,13.1,0.744,411.6,1160099,may not reopen
Del Norte*,2,1,3,3.4,1,22.3,43,22.3,   ,657.8,27558,may not reopen
El Dorado,1,1,2,6.0,1,11.7,159,11.8,0.997,274.2,193098,may not reopen
Fresno,1,1,1,8.4,1,17.2,1334,18.5,0.933,308.7,1032227,may not reopen
Glenn,1,1,1,8.9,1,22.9,47,22.9,   ,318.8,29348,may not reopen
Humboldt**,2,1,3,2.3,2,6.1,65,6.9,0.874,340.8,134098,may not reopen
Imperial,1,1,1,15.6,1,39.4,827,61.6,0.639,469.3,191649,may not reopen
Inyo,3,3,3,4.6,3,10.8,14,10.8,   ,235.3,18453,may reopen
Kern,1,1,1,10.6,1,27.4,1789,27.6,0.995,275.1,927251,may not reopen
Kings,1,1,2,5.0,1,11.2,246,22.5,0.500,551.8,156444,may not reopen
Lake,2,2,3,4.4,2,9.2,42,9.2,   ,260.5,64871,may reopen
Lassen*,3,1,3,3.2,1,20.4,43,20.4,   ,583.0,30065,may not reopen
Los Angeles,1,1,2,6.6,1,16.0,22907,31.9,0.500,632.7,10257557,may not reopen
Madera,1,1,2,7.8,1,18.7,219,19.5,0.956,296.6,160089,may not reopen
Marin,2,2,4,1.4,3,3.3,107,5.9,0.556,514.6,260800,may reopen
Mariposa,4,3,4,1.4,3,6.4,8,6.4,   ,412.6,17795,may reopen
Mendocino,1,1,3,4.4,1,14.5,90,14.5,   ,351.0,88439,may not reopen
Merced,1,1,2,7.2,1,20.5,464,23.1,0.889,332.6,287420,may not reopen
