County,Tier Assignment on 11/24,Final Tier Assignment for 11/28,Test Positivity Tier,"Test Positivity excl prisons (7-day, 4-day lag)",Case Rate or Case Number Tier for Tier,"Case Rate Used for Large Counties Tier (7-day avg, 4-day lag)","Total New Cases Used for Small Counties Tier (7-day total, 4-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 4-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=272.41",Population**,Schools Reopening Status*
Alameda,1,1,3,3.0,1,7.2,1704,14.4,0.500,560.4,1685886,may not reopen
Alpine,3,2,2,5.8,4,76.7,6,76.7,   ,665.0,1117,may reopen
Amador,2,2,3,2.9,2,14.1,38,14.1,   ,542.0,38531,may reopen
Butte,1,1,3,4.5,1,12.4,281,18.4,0.675,449.6,217769,may not reopen
Calaveras*,2,1,2,6.2,1,18.7,58,18.7,   ,312.9,44289,may not reopen
Colusa,1,1,1,14.7,1,31.0,49,31.0,   ,271.3,22593,may not reopen
Contra Costa,1,1,3,4.1,1,10.3,1409,17.4,0.593,494.4,1160099,may not reopen
Del Norte,1,1,3,4.4,1,27.0,52,27.0,   ,582.7,27558,may not reopen
El Dorado,1,1,2,7.8,1,17.7,283,20.9,0.845,357.0,193098,may not reopen
Fresno,1,1,2,7.9,1,16.6,1400,19.4,0.859,349.3,1032227,may not reopen
Glenn,1,1,1,12.9,1,33.1,68,33.1,   ,339.3,29348,may not reopen
Humboldt,1,1,3,2.8,1,7.7,98,10.4,0.740,414.0,134098,may not reopen
Imperial,1,1,1,15.8,1,35.3,947,70.6,0.500,551.3,191649,may not reopen
Inyo,3,2,3,4.0,2,11.6,15,11.6,   ,269.4,18453,may reopen
Kern,1,1,1,11.1,1,29.7,2168,33.4,0.889,332.8,927251,may not reopen
Kings,1,1,2,5.6,1,12.8,281,25.7,0.500,564.1,156444,may not reopen
Lake*,2,1,2,5.4,1,11.7,53,11.7,   ,298.0,64871,may not reopen
Lassen,1,1,2,7.8,1,53.7,113,53.7,   ,621.0,30065,may not reopen
Los Angeles,1,1,2,6.8,1,19.4,27792,38.7,0.500,706.6,10257557,may not reopen
Madera,1,1,1,9.2,1,22.7,273,24.4,0.932,309.4,160089,may not reopen
Marin,2,2,4,1.5,3,3.4,124,6.8,0.500,604.7,260800,may reopen
Mariposa,3,2,3,4.0,2,20.1,25,20.1,   ,528.2,17795,may reopen
Mendocino,1,1,3,4.7,1,21.0,130,21.0,   ,506.9,88439,may not reopen
Merced,1,1,1,9.5,1,27.3,668,33.2,0.824,368.5,287420,may not reopen
Modoc*,3,1,1,8.4,2,27.1,18,27.1,   ,143.2,9475,may not reopen
Mono,2,2,3,3.4,3,12.3,12,12.3,   ,415.4,13961,may reopen
Monterey,1,1,1,9.2,1,22.2,960,30.6,0.726,421.7,448732,may not reopen
Napa,1,1,3,4.6,1,14.2,278,28.4,0.500,658.4,139652,may not reopen
Nevada,1,1,2,6.2,1,27.9,193,27.9,   ,501.9,98710,may not reopen
Orange,1,1,2,7.6,1,18.7,5782,25.6,0.731,419.1,3228519,may not reopen
Placer,1,1,2,5.5,1,16.1,559,19.9,0.807,377.4,400434,may not reopen
Plumas*,2,1,3,4.0,1,27.1,36,27.1,   ,676.0,18997,may not reopen
Riverside,1,1,1,10.1,1,27.7,6723,38.9,0.711,430.0,2468145,may not reopen
Sacramento,1,1,1,8.4,1,22.7,3203,29.2,0.778,393.4,1567975,may not reopen
San Benito,1,1,2,6.1,1,23.0,103,23.0,   ,465.7,64022,may not reopen
San Bernardino,1,1,1,13.9,1,28.5,8862,57.1,0.500,555.0,2217398,may not reopen
San Diego,1,1,3,4.7,1,15.6,6256,26.5,0.589,496.1,3370418,may not reopen
San Francisco*^,2,1,4,1.8,2,7.0,878,14.1,0.500,941.3,892280,may not reopen
San Joaquin,1,1,1,8.9,1,22.6,1281,23.4,0.967,290.5,782545,may not reopen
San Luis Obispo,1,1,3,4.0,1,11.4,446,22.8,0.500,741.5,278862,may not reopen
San Mateo*,2,1,3,2.5,1,7.6,827,15.2,0.500,812.5,778001,may not reopen
Santa Barbara,1,1,3,3.7,1,7.8,374,11.7,0.667,453.7,456373,may not reopen
Santa Clara,1,1,3,3.0,1,9.5,2606,18.9,0.500,702.7,1967585,may not reopen
Santa Cruz,1,1,2,5.0,1,11.8,452,23.6,0.500,591.0,273999,may not reopen
Shasta,1,1,1,9.7,1,39.8,784,62.9,0.633,472.4,177925,may not reopen
Sierra,3,3,3,4.9,4,9.2,2,9.2,   ,371.5,3115,may reopen
Siskiyou,1,1,1,14.5,1,43.2,133,43.2,   ,366.6,43956,may not reopen
Solano,1,1,2,6.6,1,16.6,675,21.7,0.765,400.2,444255,may not reopen
Sonoma,1,1,3,4.2,1,10.2,666,19.2,0.531,527.9,496668,may not reopen
Stanislaus,1,1,1,10.7,1,24.4,1078,27.4,0.890,332.6,562303,may not reopen
Sutter,1,1,1,19.8,1,66.6,493,66.6,   ,431.6,105747,may not reopen
Tehama,1,1,1,13.7,1,51.4,237,51.4,   ,345.8,65885,may not reopen
Trinity,1,1,1,9.7,2,34.2,32,34.2,   ,408.7,13354,may not reopen
