County, Tier Assignment on 11/28, Final Tier Assignment on 12/01,Test Positivity Tier,"Test Positivity excl prisons (7-day, 4-day lag)", Case Rate or Case Number Tier,"Case Rate Used for Large Counties Tier (7-day avg, 4-day lag)","Total New Cases Used for Small Counties Tier (7-day total, 4-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 4-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=272.41",Population**,Schools Reopening Status*
Alameda,1,1,3,3.6,1,9.1,1974,16.7,0.545,520.3,1685886,may not reopen
Alpine,2,2,4,0.0,4,25.6,2,25.6,   ,690.6,1117,may reopen
Amador,2,2,3,3.8,2,9.3,25,9.3,   ,462.3,38531,may reopen
Butte,1,1,3,4.6,1,13.4,279,18.3,0.731,419.1,217769,may not reopen
Calaveras,1,1,3,3.7,2,11.3,35,11.3,   ,301.3,44289,may not reopen
Colusa,1,1,1,13.7,1,34.1,54,34.1,   ,267.5,22593,may not reopen
Contra Costa,1,1,3,4.1,1,10.7,1457,17.9,0.596,492.5,1160099,may not reopen
Del Norte,1,1,3,4.4,1,29.5,57,29.5,   ,663.0,27558,may not reopen
El Dorado,1,1,1,9.2,1,24.9,377,27.9,0.893,330.7,193098,may not reopen
Fresno,1,1,2,6.4,1,13.5,1064,14.7,0.917,317.5,1032227,may not reopen
Glenn,1,1,1,15.4,1,39.9,82,39.9,   ,353.9,29348,may not reopen
Humboldt,1,1,3,3.2,1,8.9,100,10.7,0.833,363.3,134098,may not reopen
Imperial,1,1,1,19.1,1,45.4,709,52.8,0.860,348.9,191649,may not reopen
Inyo,2,2,4,1.4,3,6.2,8,6.2,   ,220.6,18453,may reopen
Kern,1,1,1,13.4,1,34.5,2374,36.6,0.945,302.6,927251,may not reopen
Kings,1,1,2,7.6,1,19.4,357,32.6,0.596,492.3,156444,may not reopen
