County,Date of Tier Assessment,Ending Date of Week of Data: 11-29-20 to 12-05-20,Final Tier Assignment on 12-15-20,"Previous Tier Assignment, 12-07-20 Assessment",First Date in Current Tier,School Reopening Status,"Tier for Week 11-29-20 to 12-05-20, 12-14-20 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=362.39",Population^,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)"
Alameda,12-14-2020,12-05-2020,1,1,10-12-2020,May Not Reopen,1,6.0,19.8,33.7,0.588,661.0,1685886,9.2
Alpine*,12-14-2020,12-05-2020,2,2,08-31-2020,May Reopen,1,2.9,89.5,89.5,  ,447.6,1117,  
Amador,12-14-2020,12-05-2020,1,1,11-09-2020,May Not Reopen,1,8.4,51.2,51.2,  ,643.6,38531,  
Butte,12-14-2020,12-05-2020,1,1,10-19-2020,May Not Reopen,1,8.7,31.4,38.2,0.824,490.3,217769,11.1
Calaveras,12-14-2020,12-05-2020,1,1,10-26-2020,May Not Reopen,1,9.6,37.4,37.4,  ,429.6,44289,  
Colusa,12-14-2020,12-05-2020,1,1,10-26-2020,May Not Reopen,1,24.5,55.6,55.6,  ,314.3,22593,  
Contra Costa,12-14-2020,12-05-2020,1,1,11-09-2020,May Not Reopen,1,7.6,25.6,35.6,0.721,564.4,1160099,12.1
Del Norte,12-14-2020,12-05-2020,1,1,08-31-2020,May Not Reopen,1,3.8,29.5,29.5,  ,810.2,27558,  
El Dorado,12-14-2020,12-05-2020,1,1,09-21-2020,May Not Reopen,1,12.8,44.2,50.2,0.881,448.6,193098,14.4
Fresno,12-14-2020,12-05-2020,1,1,09-28-2020,May Not Reopen,1,7.1,22.5,26.4,0.851,470.5,1032227,7.7
Glenn,12-14-2020,12-05-2020,1,1,10-26-2020,May Not Reopen,1,13.4,52.1,52.1,  ,460.0,29348,  
Humboldt,12-14-2020,12-05-2020,1,1,10-05-2020,May Not Reopen,1,4.7,16.1,17.3,0.930,412.8,134098,3.1
Imperial,12-14-2020,12-05-2020,1,1,08-31-2020,May Not Reopen,1,18.1,66.1,84.1,0.786,517.4,191649,23.4
Inyo**,12-14-2020,12-05-2020,1,2,10-05-2020,May Not Reopen,1,7.1,34.8,34.8,  ,426.6,18453,  
Kern,12-14-2020,12-05-2020,1,1,10-12-2020,May Not Reopen,1,16.9,58.3,66.3,0.880,449.6,927251,19.6
Kings,12-14-2020,12-05-2020,1,1,10-12-2020,May Not Reopen,1,11.0,33.3,57.9,0.575,670.4,156444,14.4
Lake,12-14-2020,12-05-2020,1,1,08-31-2020,May Not Reopen,1,11.5,26.2,26.2,  ,373.9,64871,  
Lassen,12-14-2020,12-05-2020,1,1,09-21-2020,May Not Reopen,1,13.3,96.9,96.9,  ,842.5,30065,  
Los Angeles,12-14-2020,12-05-2020,1,1,08-31-2020,May Not Reopen,1,11.4,42.2,84.4,0.500,930.1,10257557,17.0
Madera,12-14-2020,12-05-2020,1,1,08-31-2020,May Not Reopen,1,14.6,45.0,46.8,0.963,389.4,160089,14.5
Marin,12-14-2020,12-05-2020,1,1,10-26-2020,May Not Reopen,1,2.6,8.1,16.2,0.500,786.5,260800,4.5
Mariposa*,12-14-2020,12-05-2020,2,2,09-21-2020,May Reopen,1,2.8,16.9,16.9,  ,630.2,17795,  
Mendocino,12-14-2020,12-05-2020,1,1,10-26-2020,May Not Reopen,1,6.1,26.2,26.2,  ,497.0,88439,  
Merced,12-14-2020,12-05-2020,1,1,10-05-2020,May Not Reopen,1,12.9,45.8,65.6,0.698,581.0,287420,13.3
Modoc,12-14-2020,12-05-2020,1,1,11-09-2020,May Not Reopen,1,15.8,42.2,42.2,  ,180.9,9475,  
Mono,12-14-2020,12-05-2020,1,1,08-31-2020,May Not Reopen,1,19.4,97.2,97.2,  ,632.4,13961,  
Monterey,12-14-2020,12-05-2020,1,1,08-31-2020,May Not Reopen,1,13.3,45.9,59.9,0.765,532.4,448732,18.0
Napa,12-14-2020,12-05-2020,1,1,10-19-2020,May Not Reopen,1,6.5,23.7,47.5,0.500,895.3,139652,9.6
Nevada,12-14-2020,12-05-2020,1,1,09-21-2020,May Not Reopen,1,11.0,54.0,54.0,  ,493.2,98710,  
Orange,12-14-2020,12-05-2020,1,1,09-07-2020,May Not Reopen,1,13.2,42.7,55.2,0.773,526.8,3228519,18.8
Placer,12-14-2020,12-05-2020,1,1,11-09-2020,May Not Reopen,1,12.7,43.9,50.0,0.879,450.2,400434,14.8
Plumas,12-14-2020,12-05-2020,1,1,10-26-2020,May Not Reopen,1,7.6,40.6,40.6,  ,484.3,18997,  
Riverside,12-14-2020,12-05-2020,1,1,10-19-2020,May Not Reopen,1,18.5,65.0,92.2,0.705,576.2,2468145,22.7
Sacramento,12-14-2020,12-05-2020,1,1,11-09-2020,May Not Reopen,1,12.4,44.1,53.9,0.817,495.1,1567975,16.4
San Benito,12-14-2020,12-05-2020,1,1,10-12-2020,May Not Reopen,1,13.9,54.7,54.7,  ,506.3,64022,  
San Bernardino,12-14-2020,12-05-2020,1,1,08-31-2020,May Not Reopen,1,20.1,60.3,120.3,0.501,723.8,2217398,24.3
San Diego,12-14-2020,12-05-2020,1,1,11-09-2020,May Not Reopen,1,9.0,29.5,52.7,0.559,681.7,3370418,13.5
San Francisco,12-14-2020,12-05-2020,1,1,10-19-2020,May Not Reopen,1,3.0,12.0,23.9,0.500,997.5,892280,5.0
San Joaquin,12-14-2020,12-05-2020,1,1,09-28-2020,May Not Reopen,1,15.1,55.2,68.4,0.806,502.8,782545,15.7
San Luis Obispo,12-14-2020,12-05-2020,1,1,09-21-2020,May Not Reopen,1,6.5,20.4,27.4,0.748,545.4,278862,6.0
San Mateo,12-14-2020,12-05-2020,1,1,10-26-2020,May Not Reopen,1,4.8,17.9,35.9,0.500,960.8,778001,8.7
Santa Barbara,12-14-2020,12-05-2020,1,1,09-28-2020,May Not Reopen,1,6.1,19.2,24.4,0.784,518.9,456373,8.3
Santa Clara,12-14-2020,12-05-2020,1,1,10-12-2020,May Not Reopen,1,6.8,23.1,46.2,0.500,822.5,1967585,12.8
Santa Cruz,12-14-2020,12-05-2020,1,1,11-09-2020,May Not Reopen,1,6.5,18.7,37.5,0.500,736.6,273999,14.8
Shasta,12-14-2020,12-05-2020,1,1,10-26-2020,May Not Reopen,1,10.5,46.2,57.4,0.805,503.8,177925,9.1
Sierra,12-14-2020,12-05-2020,3,3,10-12-2020,May Reopen,4,1.3,0.0,0.0,  ,357.7,3115,  
Siskiyou,12-14-2020,12-05-2020,1,1,11-09-2020,May Not Reopen,1,11.1,23.1,23.1,  ,294.5,43956,  
Solano,12-14-2020,12-05-2020,1,1,09-21-2020,May Not Reopen,1,8.8,29.7,37.4,0.794,512.0,444255,11.1
Sonoma,12-14-2020,12-05-2020,1,1,08-31-2020,May Not Reopen,1,7.1,24.9,34.3,0.724,562.3,496668,10.6
Stanislaus,12-14-2020,12-05-2020,1,1,10-05-2020,May Not Reopen,1,14.4,49.6,61.5,0.807,502.4,562303,15.5
Sutter,12-14-2020,12-05-2020,1,1,10-12-2020,May Not Reopen,1,23.7,98.1,98.1,  ,529.4,105747,  
Tehama,12-14-2020,12-05-2020,1,1,10-05-2020,May Not Reopen,1,15.5,69.0,69.0,  ,435.0,65885,  
Trinity,12-14-2020,12-05-2020,1,1,11-09-2020,May Not Reopen,1,10.4,23.5,23.5,  ,379.8,13354,  
Tulare,12-14-2020,12-05-2020,1,1,08-31-2020,May Not Reopen,1,14.4,51.9,63.4,0.818,494.1,484423,15.8
Tuolumne,12-14-2020,12-05-2020,1,1,08-31-2020,May Not Reopen,1,11.2,45.3,45.3,  ,667.7,52351,  
Ventura,12-14-2020,12-05-2020,1,1,10-05-2020,May Not Reopen,1,10.5,32.0,64.1,0.500,754.8,852747,15.0
Yolo,12-14-2020,12-05-2020,1,1,09-28-2020,May Not Reopen,1,11.4,40.1,43.9,0.913,425.7,223612,13.0
Yuba,12-14-2020,12-05-2020,1,1,10-05-2020,May Not Reopen,1,20.1,68.6,68.6,  ,408.6,79290,  
