County,Date of Tier Assessment,Ending Date of Week of Data: 12-06-20 to 12-12-20,Final Tier Assignment on 12-22-20,Previous Tier Assignment. 12-14-20 Assessment,First Date in Current Tier,School Reopening Status as of 12-21-20,"Tier for Week 12-06-20 to 12-12-20, 12-21-20 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=362.39",Population^,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)"
Alameda,12-21-2020,12-12-2020,1,1,10-12-2020,May Not Reopen,1,7.2,22.7,42.1,0.540,695.6,1685886,11.2
Alpine*,12-21-2020,12-12-2020,2,2,08-31-2020,May Reopen,1,1.0,89.5,89.5, ,1342.9,1117,    - 
Amador,12-21-2020,12-12-2020,1,1,11-09-2020,May Not Reopen,1,9.9,46.0,46.0, ,628.4,38531,    - 
Butte,12-21-2020,12-12-2020,1,1,10-19-2020,May Not Reopen,1,11.4,42.9,52.0,0.827,488.1,217769,12.9
Calaveras,12-21-2020,12-12-2020,1,1,10-26-2020,May Not Reopen,1,12.1,46.4,46.4, ,417.1,44289,    - 
Colusa,12-21-2020,12-12-2020,1,1,10-26-2020,May Not Reopen,1,21.3,68.3,68.3, ,383.8,22593,    - 
Contra Costa,12-21-2020,12-12-2020,1,1,11-09-2020,May Not Reopen,1,8.7,30.3,44.6,0.680,594.1,1160099,13.5
Del Norte,12-21-2020,12-12-2020,1,1,08-31-2020,May Not Reopen,1,5.1,37.3,37.3, ,789.5,27558,    - 
El Dorado,12-21-2020,12-12-2020,1,1,09-21-2020,May Not Reopen,1,12.7,44.8,50.7,0.884,446.8,193098,15.4
Fresno,12-21-2020,12-12-2020,1,1,09-28-2020,May Not Reopen,1,15.9,56.1,82.4,0.681,593.5,1032227,18.6
Glenn,12-21-2020,12-12-2020,1,1,10-26-2020,May Not Reopen,1,14.5,53.5,53.5, ,420.1,29348,    - 
Humboldt,12-21-2020,12-12-2020,1,1,10-05-2020,May Not Reopen,1,4.9,15.6,18.5,0.844,475.6,134098,3.5
Imperial,12-21-2020,12-12-2020,1,1,08-31-2020,May Not Reopen,1,20.4,74.5,118.2,0.630,630.4,191649,26.4
Inyo,12-21-2020,12-12-2020,1,1,10-05-2020,May Not Reopen,1,9.1,62.7,62.7, ,538.8,18453,    - 
Kern,12-21-2020,12-12-2020,1,1,10-12-2020,May Not Reopen,1,17.7,61.5,77.6,0.792,512.9,927251,20.8
Kings,12-21-2020,12-12-2020,1,1,10-12-2020,May Not Reopen,1,12.0,37.9,75.9,0.500,741.3,156444,15.0
Lake,12-21-2020,12-12-2020,1,1,08-31-2020,May Not Reopen,1,8.5,31.5,31.5, ,508.3,64871,    - 
Lassen,12-21-2020,12-12-2020,1,1,09-21-2020,May Not Reopen,1,12.0,104.1,104.1, ,946.5,30065,    - 
Los Angeles,12-21-2020,12-12-2020,1,1,08-31-2020,May Not Reopen,1,14.3,53.0,106.0,0.500,944.4,10257557,20.3
Madera,12-21-2020,12-12-2020,1,1,08-31-2020,May Not Reopen,1,16.2,54.7,59.5,0.920,420.7,160089,19.3
Marin,12-21-2020,12-12-2020,1,1,10-26-2020,May Not Reopen,1,3.8,11.8,21.5,0.547,691.1,260800,5.6
Mariposa*,12-21-2020,12-12-2020,2,2,09-21-2020,May Reopen,1,3.1,7.2,7.2, ,546.7,17795,    - 
Mendocino,12-21-2020,12-12-2020,1,1,10-26-2020,May Not Reopen,1,7.2,34.7,34.7, ,518.2,88439,    - 
Merced,12-21-2020,12-12-2020,1,1,10-05-2020,May Not Reopen,1,13.2,44.6,81.0,0.551,687.7,287420,10.9
Modoc,12-21-2020,12-12-2020,1,1,11-09-2020,May Not Reopen,1,9.5,46.7,46.7, ,158.3,9475,    - 
Mono,12-21-2020,12-12-2020,1,1,08-31-2020,May Not Reopen,1,14.7,95.2,95.2, ,781.8,13961,    - 
Monterey,12-21-2020,12-12-2020,1,1,08-31-2020,May Not Reopen,1,13.9,51.1,74.4,0.687,589.1,448732,19.0
Napa,12-21-2020,12-12-2020,1,1,10-19-2020,May Not Reopen,1,7.4,25.1,50.1,0.500,868.7,139652,12.2
Nevada,12-21-2020,12-12-2020,1,1,09-21-2020,May Not Reopen,1,8.8,35.2,35.2, ,466.7,98710,    - 
Orange,12-21-2020,12-12-2020,1,1,09-07-2020,May Not Reopen,1,15.2,51.8,78.1,0.664,606.1,3228519,22.7
Placer,12-21-2020,12-12-2020,1,1,11-09-2020,May Not Reopen,1,12.5,43.5,51.1,0.851,470.5,400434,16.3
Plumas,12-21-2020,12-12-2020,1,1,10-26-2020,May Not Reopen,1,8.3,41.4,41.4, ,523.4,18997,    - 
Riverside,12-21-2020,12-12-2020,1,1,10-19-2020,May Not Reopen,1,21.3,73.9,120.4,0.614,642.1,2468145,25.5
Sacramento,12-21-2020,12-12-2020,1,1,11-09-2020,May Not Reopen,1,12.0,44.0,56.6,0.778,523.3,1567975,15.8
San Benito,12-21-2020,12-12-2020,1,1,10-12-2020,May Not Reopen,1,16.2,68.3,68.3, ,519.2,64022,    - 
San Bernardino,12-21-2020,12-12-2020,1,1,08-31-2020,May Not Reopen,1,22.5,74.7,149.4,0.500,780.1,2217398,26.5
San Diego,12-21-2020,12-12-2020,1,1,11-09-2020,May Not Reopen,1,10.9,36.3,67.1,0.541,695.3,3370418,17.2
San Francisco,12-21-2020,12-12-2020,1,1,10-19-2020,May Not Reopen,1,3.6,13.5,27.1,0.500,964.3,892280,6.7
