County,Date of Tier Assessment,Ending Date of Week of Data: 12-13-20 to 12-19-20,Final Tier Assignment on 12-29-20,"Previous Tier Assignment, 12-21-20 Assessment",First Date in Current Tier,School Reopening Status as of 12-28-20,"Tier for Week 12-13-20 to 12-19-20, 12-28-20 Assessment","Test Positivity excl prisons (7-day, 7-day lag)","Case Rate Used for Tier Adjusted Using Linear Adjustment (7-day avg, 7-day lag)","Unadjusted Case Rate per 100,000 excl prisons (7-day avg, 7-day lag)",Linear Adjustment Factor Applied to Case Rate (>State Avg + Pop>100K or <State Avg + TestPos>3.5 + Pop>100K),"Tests per 100,000 excl prisons, with replaced approved county data (7-day avg, 7-day lag)

State Median Testing Rate=362.39",Population^,"Health Equity Quartile Test Positivity Excl Prison Cases (7 day, 7 day lag)"
Alameda,12-28-2020,12-19-2020,1,1,10-12-2020,May Not Reopen,1,7.3,22.5,44.9,0.500,724.6,1685886,10.8
Alpine,12-28-2020,12-19-2020,2,2,08-31-2020,May Reopen,4,0.0,0.0,0.0, ,639.5,1117,    - 
Amador,12-28-2020,12-19-2020,1,1,11-09-2020,May Not Reopen,1,8.3,51.9,51.9, ,719.3,38531,    - 
Butte,12-28-2020,12-19-2020,1,1,10-19-2020,May Not Reopen,1,12.6,44.5,56.5,0.788,516.3,217769,12.2
Calaveras,12-28-2020,12-19-2020,1,1,10-26-2020,May Not Reopen,1,14.0,59.0,59.0, ,457.7,44289,    - 
Colusa,12-28-2020,12-19-2020,1,1,10-26-2020,May Not Reopen,1,20.7,63.9,63.9, ,345.9,22593,    - 
Contra Costa,12-28-2020,12-19-2020,1,1,11-09-2020,May Not Reopen,1,8.2,28.0,43.5,0.645,620.0,1160099,12.5
Del Norte,12-28-2020,12-19-2020,1,1,08-31-2020,May Not Reopen,1,3.5,24.4,24.4, ,704.5,27558,    - 
El Dorado,12-28-2020,12-19-2020,1,1,09-21-2020,May Not Reopen,1,11.6,40.5,46.8,0.866,459.9,193098,11.9
Fresno,12-28-2020,12-19-2020,1,1,09-28-2020,May Not Reopen,1,16.6,56.2,84.9,0.662,607.6,1032227,18.5
Glenn,12-28-2020,12-19-2020,1,1,10-26-2020,May Not Reopen,1,15.5,46.2,46.2, ,351.0,29348,    - 
Humboldt**,12-28-2020,12-19-2020,2,1,12-28-2020,May Not Reopen,1,4.0,12.1,14.0,0.864,460.6,134098,4.1
Imperial,12-28-2020,12-19-2020,1,1,08-31-2020,May Not Reopen,1,15.5,57.9,69.8,0.830,485.9,191649,19.3
Inyo,12-28-2020,12-19-2020,1,1,10-05-2020,May Not Reopen,1,9.6,64.3,64.3, ,562.8,18453,    - 
Kern,12-28-2020,12-19-2020,1,1,10-12-2020,May Not Reopen,1,19.7,65.8,78.0,0.844,475.6,927251,25.0
Kings,12-28-2020,12-19-2020,1,1,10-12-2020,May Not Reopen,1,14.5,44.9,86.7,0.518,711.6,156444,19.1
Lake,12-28-2020,12-19-2020,1,1,08-31-2020,May Not Reopen,1,11.0,40.5,40.5, ,535.8,64871,    - 
Lassen,12-28-2020,12-19-2020,1,1,09-21-2020,May Not Reopen,1,12.5,87.9,87.9, ,822.0,30065,    - 
Los Angeles,12-28-2020,12-19-2020,1,1,08-31-2020,May Not Reopen,1,16.5,66.4,132.7,0.500,1039.6,10257557,23.4
Madera,12-28-2020,12-19-2020,1,1,08-31-2020,May Not Reopen,1,15.9,56.0,66.0,0.848,472.3,160089,17.8
Marin,12-28-2020,12-19-2020,1,1,10-26-2020,May Not Reopen,1,4.0,14.2,28.3,0.500,803.2,260800,6.4
Mariposa*,12-28-2020,12-19-2020,2,2,09-21-2020,May Reopen,1,3.6,16.1,16.1, ,551.5,17795,    - 
Mendocino,12-28-2020,12-19-2020,1,1,10-26-2020,May Not Reopen,1,6.3,28.6,28.6, ,549.0,88439,    - 
Merced,12-28-2020,12-19-2020,1,1,10-05-2020,May Not Reopen,1,12.0,43.7,78.7,0.556,684.4,287420,12.5
Modoc,12-28-2020,12-19-2020,1,1,11-09-2020,May Not Reopen,1,1.9,30.2,30.2, ,235.2,9475,    - 
Mono,12-28-2020,12-19-2020,1,1,08-31-2020,May Not Reopen,1,18.0,95.2,95.2, ,620.1,13961,    - 
Monterey,12-28-2020,12-19-2020,1,1,08-31-2020,May Not Reopen,1,17.0,59.3,85.2,0.696,582.4,448732,23.9
Napa,12-28-2020,12-19-2020,1,1,10-19-2020,May Not Reopen,1,7.3,26.8,53.6,0.500,918.1,139652,11.3
Nevada,12-28-2020,12-19-2020,1,1,09-21-2020,May Not Reopen,1,8.2,30.5,30.5, ,446.2,98710,    - 
