"","STATE","CLUSTER"
"1","ALABAMA",1
"2","ALASKA",2
"3","ARIZONA",3
"4","ARKANSAS",1
"5","CALIFORNIA",3
"6","COLORADO",4
"7","CONNECTICUT",5
"8","DELAWARE",5
"9","DISTRICT OF COLUMBIA",6
"10","FLORIDA",1
"11","GEORGIA",1
"12","HAWAII",6
"13","IDAHO",2
"14","ILLINOIS",4
"15","INDIANA",2
"16","IOWA",4
"17","KANSAS",2
"18","KENTUCKY",2
"19","LOUISIANA",1
"20","MAINE",6
"21","MARYLAND",6
"22","MASSACHUSETTS",5
"23","MICHIGAN",4
"24","MINNESOTA",4
"25","MISSISSIPPI",1
"26","MISSOURI",2
"27","MONTANA",4
"28","NEBRASKA",4
"29","NEVADA",2
"30","NEW HAMPSHIRE",5
"31","NEW JERSEY",5
"32","NEW MEXICO",2
"33","NEW YORK",5
"34","NORTH CAROLINA",1
"35","NORTH DAKOTA",7
"36","OHIO",2
"37","OKLAHOMA",1
"38","OREGON",6
"39","PENNSYLVANIA",5
"40","RHODE ISLAND",2
"41","SOUTH CAROLINA",1
"42","SOUTH DAKOTA",7
"43","TENNESSEE",3
"44","TEXAS",1
"45","UTAH",2
"46","VERMONT",6
"47","VIRGINIA",1
"48","WASHINGTON",6
"49","WEST VIRGINIA",5
"50","WISCONSIN",4
"51","WYOMING",4
